Unnamed: 0_level_0_Rk,Unnamed: 1_level_0_Player,Unnamed: 2_level_0_Nation,Unnamed: 3_level_0_Pos,Unnamed: 4_level_0_Squad,Unnamed: 5_level_0_Age,Unnamed: 6_level_0_Born,Unnamed: 7_level_0_90s,SCA_SCA,SCA_SCA90,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,GCA_GCA,GCA_GCA90,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Unnamed: 24_level_0_Matches
1,Abner,br BRA,DF,Juventude,20,2004,14.6,5,0.34,5,0,0,0,0,0,1,0.07,1,0,0,0,0,0,Matches
2,Nicolás Acevedo,uy URU,MF,Bahia,25,1999,18.8,50,2.66,41,1,1,5,0,2,7,0.37,7,0,0,0,0,0,Matches
3,Luciano Acosta,ar ARG,MF,Fluminense,30,1994,13.3,54,4.05,46,0,4,2,1,1,4,0.30,4,0,0,0,0,0,Matches
4,Adriel,br BRA,MF,Sport Recife,18,2006,1.6,2,1.22,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
5,Adson,br BRA,"FW,MF",Vasco da Gama,24,2000,2.3,10,4.29,9,0,1,0,0,0,0,0.00,0,0,0,0,0,0,Matches
6,Braian Aguirre,ar ARG,DF,Internacional,24,2000,26.5,47,1.77,35,3,2,1,2,4,5,0.19,3,0,0,0,1,1,Matches
7,Carlos Alberto,br BRA,"FW,MF",Sport Recife,22,2002,3.7,9,2.45,8,0,0,0,0,1,0,0.00,0,0,0,0,0,0,Matches
8,Yuri Alberto,br BRA,FW,Corinthians,23,2001,22.3,52,2.33,27,1,5,11,7,1,7,0.31,2,0,2,2,1,0,Matches
9,José Aldo,br BRA,MF,Mirassol,26,1998,15.2,54,3.55,45,2,3,2,0,2,5,0.33,3,1,0,1,0,0,Matches
10,Alesson,br BRA,FW,Mirassol,25,1999,16.2,47,2.91,40,0,3,4,0,0,5,0.31,4,0,1,0,0,0,Matches
11,Caio Alexandre,br BRA,MF,Bahia,25,1999,14.5,31,2.14,29,1,0,0,1,0,2,0.14,2,0,0,0,0,0,Matches
12,Matheus Alexandre,br BRA,DF,Sport Recife,25,1999,19.8,26,1.32,17,3,0,2,1,3,5,0.25,2,1,0,1,1,0,Matches
13,Alexsander,br BRA,MF,Atlético Mineiro,21,2003,9.2,23,2.50,18,1,2,0,2,0,1,0.11,1,0,0,0,0,0,Matches
14,Alisson,br BRA,MF,São Paulo,31,1993,21.8,47,2.16,39,1,0,5,1,1,1,0.05,1,0,0,0,0,0,Matches
15,Allan,br BRA,"MF,FW",Palmeiras,20,2004,10.2,41,4.01,22,1,8,5,2,3,5,0.49,5,0,0,0,0,0,Matches
16,Allan,br BRA,MF,Botafogo (RJ),34,1991,10.7,21,1.96,20,0,0,1,0,0,0,0.00,0,0,0,0,0,0,Matches
17,Allan,br BRA,MF,Flamengo,27,1997,7.6,14,1.84,14,0,0,0,0,0,1,0.13,1,0,0,0,0,0,Matches
18,Allanzinho,br BRA,"MF,FW",Fortaleza,24,2000,3.2,17,5.33,11,1,0,0,5,0,3,0.94,3,0,0,0,0,0,Matches
19,Júnior Alonso,py PAR,DF,Atlético Mineiro,31,1993,29.0,28,0.97,25,2,0,1,0,0,2,0.07,2,0,0,0,0,0,Matches
20,Dyogo Alves,br BRA,GK,Flamengo,21,2004,1.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
21,Matheus Alves,br BRA,"MF,FW",São Paulo,19,2005,4.1,11,2.67,7,0,2,2,0,0,1,0.24,1,0,0,0,0,0,Matches
22,Francis Amuzu,be BEL,"FW,MF",Grêmio,25,1999,12.7,48,3.77,32,0,5,9,2,0,4,0.31,3,0,0,1,0,0,Matches
23,Felipe Anderson,br BRA,"MF,FW",Palmeiras,31,1993,19.7,79,4.01,56,2,6,8,3,4,9,0.46,4,0,0,4,0,1,Matches
24,Kervin Andrade,ve VEN,"FW,MF",Fortaleza,19,2005,1.8,5,2.76,1,0,2,2,0,0,1,0.55,1,0,0,0,0,0,Matches
25,André,br BRA,MF,Corinthians,18,2006,3.5,5,1.43,3,0,0,1,1,0,1,0.29,1,0,0,0,0,0,Matches
26,José Andrés Martínez,ve VEN,MF,Corinthians,30,1994,15.5,26,1.68,22,0,1,1,0,2,1,0.06,1,0,0,0,0,0,Matches
27,Wilker Ángel,ve VEN,DF,Juventude,31,1993,15.8,5,0.32,3,0,0,2,0,0,0,0.00,0,0,0,0,0,0,Matches
28,Fabrizio Angileri,ar ARG,DF,Corinthians,30,1994,18.2,29,1.59,27,2,0,0,0,0,3,0.16,3,0,0,0,0,0,Matches
29,Anthoni,br BRA,GK,Internacional,23,2002,17.0,2,0.12,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
30,Marcos Antônio,br BRA,MF,São Paulo,24,2000,21.1,57,2.70,55,0,0,0,1,1,7,0.33,7,0,0,0,0,0,Matches
31,Léo Aragão,br BRA,GK,Cruzeiro,22,2002,3.7,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
32,Guilherme Arana,br BRA,DF,Atlético Mineiro,27,1997,19.4,48,2.47,36,3,0,8,1,0,3,0.15,3,0,0,0,0,0,Matches
33,Willian Arão,br BRA,MF,Santos,32,1992,8.7,10,1.16,9,0,0,0,0,1,2,0.23,2,0,0,0,0,0,Matches
34,Luiz Araújo,br BRA,"FW,MF",Flamengo,28,1996,19.6,77,3.93,47,21,2,6,1,0,6,0.31,4,1,0,1,0,0,Matches
35,Matheus Araújo,br BRA,"MF,FW",Ceará,22,2002,3.0,8,2.67,4,2,0,1,1,0,1,0.33,1,0,0,0,0,0,Matches
36,Michel Araujo,uy URU,"MF,FW",Bahia,28,1996,9.5,29,3.06,23,2,2,1,1,0,3,0.32,3,0,0,0,0,0,Matches
37,Alexander Aravena,cl CHI,"FW,MF",Grêmio,22,2002,6.5,14,2.17,12,0,0,2,0,0,2,0.31,2,0,0,0,0,0,Matches
38,Robert Arboleda,ec ECU,DF,São Paulo,33,1991,22.9,7,0.31,5,0,0,0,1,1,1,0.04,0,0,0,0,1,0,Matches
39,Lucas Arcanjo,br BRA,GK,Vitória,26,1998,28.3,11,0.39,7,4,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
40,Matias Arezo,uy URU,FW,Grêmio,22,2002,3.0,8,2.69,8,0,0,0,0,0,2,0.67,2,0,0,0,0,0,Matches
41,Jhon Arias,co COL,FW,Fluminense,27,1997,12.0,68,5.67,44,13,5,1,4,1,8,0.67,6,0,2,0,0,0,Matches
42,Santiago Arias,co COL,DF,Bahia,33,1992,15.8,33,2.09,28,0,0,2,3,0,1,0.06,1,0,0,0,0,0,Matches
43,Keny Arroyo,ec ECU,FW,Cruzeiro,18,2006,7.2,26,3.62,18,1,1,1,5,0,3,0.42,2,0,0,1,0,0,Matches
44,Arthur,br BRA,FW,Sport Recife,21,2003,2.2,9,4.05,7,0,0,1,1,0,0,0.00,0,0,0,0,0,0,Matches
45,Artur,br BRA,"FW,MF",Botafogo (RJ),26,1998,21.3,88,4.13,73,4,3,5,3,0,10,0.47,8,0,1,1,0,0,Matches
46,Rodrigo Atencio,ar ARG,"MF,FW",Sport Recife,22,2002,6.0,38,6.28,20,9,5,4,0,0,0,0.00,0,0,0,0,0,0,Matches
47,Loide Augusto,ao ANG,"FW,MF",Vasco da Gama,24,2000,2.1,6,2.81,5,0,1,0,0,0,0,0.00,0,0,0,0,0,0,Matches
48,Leo Augusto Pereira,br BRA,"FW,MF",Vitória,24,2000,1.8,5,2.73,2,1,0,1,1,0,0,0.00,0,0,0,0,0,0,Matches
49,Leo Augusto Pereira,br BRA,"FW,MF",Sport Recife,24,2000,12.3,20,1.63,12,0,2,4,2,0,2,0.16,2,0,0,0,0,0,Matches
50,Renato Augusto,br BRA,"MF,FW",Fluminense,36,1988,0.2,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
51,Gastón Ávila,ar ARG,DF,Fortaleza,23,2001,25.8,22,0.85,14,3,0,1,4,0,1,0.04,0,0,0,0,1,0,Matches
52,Aylon,br BRA,"FW,MF",Ceará,32,1992,8.8,20,2.27,10,0,3,3,4,0,2,0.23,1,0,1,0,0,0,Matches
53,Matheus Babi,br BRA,FW,Juventude,27,1997,5.3,10,1.88,5,0,0,1,4,0,0,0.00,0,0,0,0,0,0,Matches
54,Bahia,br BRA,MF,Corinthians,19,2006,0.5,2,3.67,1,0,0,1,0,0,0,0.00,0,0,0,0,0,0,Matches
55,Gabriel Bahia,br BRA,DF,Botafogo (RJ),26,1998,2.6,5,1.91,3,0,1,1,0,0,0,0.00,0,0,0,0,0,0,Matches
56,Matheus Bahia,br BRA,DF,Ceará,25,1999,27.4,48,1.75,39,4,4,0,1,0,2,0.07,2,0,0,0,0,0,Matches
57,Fabián Balbuena,py PAR,DF,Grêmio,33,1991,2.5,2,0.80,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
58,Gabriel Baralhas,br BRA,MF,Vitória,26,1998,25.3,49,1.94,37,0,2,4,4,2,4,0.16,4,0,0,0,0,0,Matches
59,Danilo Barbosa,br BRA,"DF,MF",Botafogo (RJ),28,1996,0.4,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
60,Diogo Barbosa,br BRA,DF,Fortaleza,32,1992,13.8,25,1.82,19,2,0,0,1,3,0,0.00,0,0,0,0,0,0,Matches
61,Gabriel Barbosa,br BRA,"FW,MF",Cruzeiro,28,1996,12.0,31,2.58,24,0,1,5,1,0,4,0.33,3,0,0,1,0,0,Matches
62,Lucas Barbosa,br BRA,"FW,MF",RB Bragantino,23,2001,25.9,40,1.54,25,2,0,7,6,0,9,0.35,4,0,0,2,3,0,Matches
63,Alexander Barboza,ar ARG,DF,Botafogo (RJ),29,1995,23.9,25,1.05,21,2,0,2,0,0,1,0.04,1,0,0,0,0,0,Matches
64,Adam Bareiro,py PAR,FW,Fortaleza,28,1996,9.8,17,1.73,12,0,0,2,2,1,3,0.31,3,0,0,0,0,0,Matches
65,Chrystian Barletta,br BRA,"FW,MF",Sport Recife,23,2001,16.7,50,3.00,26,2,9,5,5,3,0,0.00,0,0,0,0,0,0,Matches
66,Álvaro Barreal,ar ARG,"FW,MF",Santos,24,2000,24.9,80,3.22,50,16,2,8,4,0,5,0.20,1,1,0,2,1,0,Matches
67,Jordan Barrera,co COL,"FW,MF",Botafogo (RJ),18,2006,3.4,6,1.76,5,0,0,1,0,0,0,0.00,0,0,0,0,0,0,Matches
68,Cauan Barros,br BRA,MF,Vasco da Gama,20,2004,14.9,21,1.41,16,0,0,2,3,0,3,0.20,2,0,0,1,0,0,Matches
69,Enmerson Batalla,co COL,"FW,MF",Juventude,23,2001,14.6,32,2.19,25,1,3,1,2,0,4,0.27,4,0,0,0,0,0,Matches
70,Paulo Baya,br BRA,FW,Ceará,25,1999,4.8,16,3.30,7,4,0,2,3,0,1,0.21,0,0,0,1,0,0,Matches
71,Paulo Baya,br BRA,"MF,FW",Fluminense,25,1999,0.4,1,2.37,1,0,0,0,0,0,1,2.37,1,0,0,0,0,0,Matches
72,José Luis Rodríguez Bebanz,uy URU,DF,Vasco da Gama,27,1997,16.1,31,1.93,26,1,2,1,1,0,4,0.25,4,0,0,0,0,0,Matches
73,Erick Belé,br BRA,MF,Palmeiras,18,2007,0.3,2,7.50,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
