Player,Nation,Pos,Squad,Age,Born,90s,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Ast,xAG,Expected_xA,Expected_A-xAG,KP,1/3,PPA,CrsPA,PrgP
Abner,BRA,DF,Juventude,20,2004,14.6,468,553,84.6,9585,3242,130,139,93.5,276,298,92.6,59,106,55.7,1,0.4,0.2,0.6,5,23,1,0,22
Nicolás Acevedo,URU,MF,Bahia,25,1999,18.8,1086,1267,85.7,17634,4720,538,579,92.9,434,489,88.8,75,121,62.0,1,1.7,1.6,-0.7,18,119,11,1,119
Luciano Acosta,ARG,MF,Fluminense,30,1994,13.3,435,580,75.0,6784,2121,234,283,82.7,147,180,81.7,34,64,53.1,2,2.6,2.6,-0.6,30,63,37,6,85
Adriel,BRA,MF,Sport Recife,18,2006,1.6,44,51,86.3,832,194,17,20,85.0,21,24,87.5,6,7,85.7,0,0.0,0.0,0.0,0,6,1,0,5
Adson,BRA,"FW,MF",Vasco da Gama,24,2000,2.3,122,146,83.6,1503,290,80,90,88.9,25,32,78.1,4,6,66.7,0,0.2,0.3,-0.2,4,13,4,1,12
Braian Aguirre,ARG,DF,Internacional,24,2000,26.5,1098,1439,76.3,19524,7320,473,536,88.2,500,642,77.9,107,188,56.9,0,1.0,1.4,-1.0,13,96,23,9,124
Carlos Alberto,BRA,"FW,MF",Sport Recife,22,2002,3.7,51,69,73.9,761,255,26,34,76.5,17,20,85.0,3,6,50.0,0,0.1,0.0,-0.1,2,2,0,0,9
Yuri Alberto,BRA,FW,Corinthians,23,2001,22.3,237,326,72.7,3311,515,134,171,78.4,79,102,77.5,10,14,71.4,2,1.5,0.4,0.5,13,17,5,1,21
José Aldo,BRA,MF,Mirassol,26,1998,15.2,724,857,84.5,12168,4078,336,374,89.8,289,324,89.2,69,98,70.4,1,2.1,1.7,-1.1,19,71,11,3,104
Alesson,BRA,FW,Mirassol,25,1999,16.2,329,433,76.0,4590,1280,202,231,87.4,90,114,78.9,17,39,43.6,5,2.2,2.2,2.8,24,19,30,12,41
Caio Alexandre,BRA,MF,Bahia,25,1999,14.5,944,1059,89.1,16712,4315,412,442,93.2,421,450,93.6,93,122,76.2,1,1.4,1.4,-0.4,10,98,15,4,106
Matheus Alexandre,BRA,DF,Sport Recife,25,1999,19.8,699,864,80.9,10549,3985,385,416,92.5,264,326,81.0,30,64,46.9,1,0.9,1.0,0.1,9,39,15,10,60
Alexsander,BRA,MF,Atlético Mineiro,21,2003,9.2,388,452,85.8,6280,1838,203,225,90.2,159,175,90.9,21,27,77.8,0,0.3,0.5,-0.3,8,56,6,0,57
Alisson,BRA,MF,São Paulo,31,1993,21.8,1141,1310,87.1,20256,5027,499,544,91.7,500,555,90.1,120,162,74.1,1,0.6,0.9,0.4,17,105,14,5,122
Allan,BRA,"MF,FW",Palmeiras,20,2004,10.2,228,298,76.5,3637,926,113,135,83.7,92,118,78.0,18,27,66.7,3,0.9,0.6,2.1,12,11,6,1,23
Allan,BRA,MF,Botafogo (RJ),34,1991,10.7,594,655,90.7,9941,2895,279,294,94.9,255,274,93.1,45,59,76.3,0,0.3,0.8,-0.3,5,70,9,3,67
Allan,BRA,MF,Flamengo,27,1997,7.6,515,552,93.3,9085,2072,230,239,96.2,243,255,95.3,39,52,75.0,0,0.1,0.5,-0.1,5,76,11,0,52
Allanzinho,BRA,"MF,FW",Fortaleza,24,2000,3.2,65,90,72.2,916,266,41,50,82.0,18,24,75.0,5,11,45.5,2,1.4,0.6,0.6,6,2,5,4,3
Júnior Alonso,PAR,DF,Atlético Mineiro,31,1993,29.0,1679,1915,87.7,31272,11504,596,636,93.7,905,986,91.8,157,235,66.8,1,0.2,0.8,0.8,6,178,9,2,170
Dyogo Alves,BRA,GK,Flamengo,21,2004,1.0,24,40,60.0,703,530,3,3,100.0,13,13,100.0,8,24,33.3,0,0.0,0.0,0.0,0,2,0,0,0
Matheus Alves,BRA,"MF,FW",São Paulo,19,2005,4.1,95,122,77.9,1328,247,55,63,87.3,28,35,80.0,5,12,41.7,1,0.7,0.4,0.3,3,7,3,0,12
Francis Amuzu,BEL,"FW,MF",Grêmio,25,1999,12.7,265,340,77.9,4049,814,155,175,88.6,86,106,81.1,17,32,53.1,2,2.1,1.5,-0.1,18,14,13,5,27
Felipe Anderson,BRA,"MF,FW",Palmeiras,31,1993,19.7,753,905,83.2,11745,3208,392,437,89.7,296,337,87.8,34,53,64.2,2,1.8,1.9,0.2,27,64,26,5,101
