Player,Nation,Pos,Squad,Age,Born,90s,Att,Pass Types_Live,Pass Types_Dead,Pass Types_FK,Pass Types_TB,Pass Types_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Corner Kicks_In,Corner Kicks_Out,Corner Kicks_Str,Outcomes_Cmp,Outcomes_Off,Outcomes_Blocks
Abner,BRA,DF,Juventude,20,2004,14.6,553,525,24,19,1,1,0,0,0,0,0,0,468,4,2
Nicolás Acevedo,URU,MF,Bahia,25,1999,18.8,1267,1188,78,50,5,12,10,11,0,0,0,0,1086,1,25
Luciano Acosta,ARG,MF,Fluminense,30,1994,13.3,580,527,49,18,6,6,37,1,14,6,4,0,435,4,12
Adriel,BRA,MF,Sport Recife,18,2006,1.6,51,50,1,1,0,2,0,0,0,0,0,0,44,0,0
Adson,BRA,"FW,MF",Vasco da Gama,24,2000,2.3,146,143,3,2,0,0,7,1,0,0,0,0,122,0,4
Braian Aguirre,ARG,DF,Internacional,24,2000,26.5,1439,1178,257,19,1,4,79,238,0,0,0,0,1098,4,33
Carlos Alberto,BRA,"FW,MF",Sport Recife,22,2002,3.7,69,61,8,1,0,1,5,5,0,0,0,0,51,0,2
Yuri Alberto,BRA,FW,Corinthians,23,2001,22.3,326,306,20,1,0,3,4,3,0,0,0,0,237,0,13
José Aldo,BRA,MF,Mirassol,26,1998,15.2,857,831,20,15,1,9,9,2,1,0,1,0,724,6,13
Alesson,BRA,FW,Mirassol,25,1999,16.2,433,424,7,2,0,1,46,5,0,0,0,0,329,2,21
Caio Alexandre,BRA,MF,Bahia,25,1999,14.5,1059,995,60,47,3,11,14,2,9,0,0,0,944,4,14
Matheus Alexandre,BRA,DF,Sport Recife,25,1999,19.8,864,693,169,11,1,2,47,158,0,0,0,0,699,2,28
Alexsander,BRA,MF,Atlético Mineiro,21,2003,9.2,452,426,23,12,0,2,4,10,1,0,0,0,388,3,14
Alisson,BRA,MF,São Paulo,31,1993,21.8,1310,1251,57,39,0,7,29,8,8,4,3,0,1141,2,23
Allan,BRA,"MF,FW",Palmeiras,20,2004,10.2,298,271,25,6,0,1,17,16,2,2,0,0,228,2,9
Allan,BRA,MF,Botafogo (RJ),34,1991,10.7,655,623,31,23,0,4,8,5,0,0,0,0,594,1,6
Allan,BRA,MF,Flamengo,27,1997,7.6,552,541,11,9,0,3,0,2,0,0,0,0,515,0,2
Allanzinho,BRA,"MF,FW",Fortaleza,24,2000,3.2,90,83,7,1,0,0,15,1,5,2,1,0,65,0,3
Júnior Alonso,PAR,DF,Atlético Mineiro,31,1993,29.0,1915,1769,136,37,0,6,11,50,0,0,0,0,1679,10,18
Dyogo Alves,BRA,GK,Flamengo,21,2004,1.0,40,28,12,3,0,0,0,0,0,0,0,0,24,0,0
Matheus Alves,BRA,"MF,FW",São Paulo,19,2005,4.1,122,117,5,1,1,2,4,2,0,0,0,0,95,0,2
