Player,Nation,Pos,Squad,Age,Born,90s,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_PrgC,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Receiving_Rec,Receiving_PrgR
Abner,BRA,DF,Juventude,20,2004,14.6,723,121,454,260,15,7,723,6,4,66.7,2,33.3,413,2064,1036,6,0,0,5,1,446,2
Nicolás Acevedo,URU,MF,Bahia,25,1999,18.8,1504,73,357,899,275,23,1504,40,22,55.0,15,37.5,899,4551,2445,37,32,10,30,34,1044,22
Luciano Acosta,ARG,MF,Fluminense,30,1994,13.3,732,4,59,357,327,43,732,49,23,46.9,22,44.9,386,1829,936,28,24,9,34,28,542,68
Adriel,BRA,MF,Sport Recife,18,2006,1.6,66,2,18,40,8,1,66,0,0,,0,,37,150,71,0,3,0,1,1,40,0
Adson,BRA,"FW,MF",Vasco da Gama,24,2000,2.3,181,3,21,80,82,5,181,15,3,20.0,10,66.7,128,637,252,6,9,1,1,1,149,17
Braian Aguirre,ARG,DF,Internacional,24,2000,26.5,1749,77,448,825,483,20,1749,33,18,54.5,15,45.5,865,3653,2004,38,36,4,29,9,991,146
Carlos Alberto,BRA,"FW,MF",Sport Recife,22,2002,3.7,115,4,19,47,52,13,115,13,4,30.8,9,69.2,52,394,181,5,3,4,11,2,61,20
Yuri Alberto,BRA,FW,Corinthians,23,2001,22.3,522,17,37,223,269,94,519,26,11,42.3,15,57.7,321,1695,785,27,15,17,51,16,404,126
José Aldo,BRA,MF,Mirassol,26,1998,15.2,1065,40,227,627,222,25,1065,29,13,44.8,16,55.2,589,2645,1216,16,9,4,32,23,724,39
Alesson,BRA,FW,Mirassol,25,1999,16.2,654,9,77,257,337,64,654,73,31,42.5,40,54.8,395,2538,1327,54,35,14,41,37,469,152
Caio Alexandre,BRA,MF,Bahia,25,1999,14.5,1201,73,296,669,243,5,1201,24,10,41.7,11,45.8,761,3745,1862,18,19,2,15,7,931,19
Matheus Alexandre,BRA,DF,Sport Recife,25,1999,19.8,1077,59,334,467,297,22,1077,25,13,52.0,8,32.0,529,2774,1421,42,28,2,21,10,571,86
Alexsander,BRA,MF,Atlético Mineiro,21,2003,9.2,584,7,82,363,149,19,584,36,15,41.7,16,44.4,357,1884,1017,18,13,5,30,21,417,19
Alisson,BRA,MF,São Paulo,31,1993,21.8,1470,55,283,915,276,14,1470,11,4,36.4,6,54.5,943,4177,2163,29,23,3,16,8,1110,37
Allan,BRA,"MF,FW",Palmeiras,20,2004,10.2,456,8,88,201,180,38,456,43,22,51.2,18,41.9,261,1645,859,27,20,12,24,16,273,58
Allan,BRA,MF,Botafogo (RJ),34,1991,10.7,753,23,181,474,106,9,753,8,3,37.5,4,50.0,439,1760,919,6,12,3,12,8,562,23
Allan,BRA,MF,Flamengo,27,1997,7.6,621,23,107,420,95,1,621,8,4,50.0,3,37.5,387,1825,852,7,14,0,11,4,490,7
Allanzinho,BRA,"MF,FW",Fortaleza,24,2000,3.2,147,0,21,45,87,18,147,20,8,40.0,11,55.0,98,706,343,14,6,5,14,7,103,27
Júnior Alonso,PAR,DF,Atlético Mineiro,31,1993,29.0,2176,190,900,1088,197,25,2176,4,3,75.0,1,25.0,1275,6165,3603,28,26,2,7,5,1485,19
Dyogo Alves,BRA,GK,Flamengo,21,2004,1.0,46,44,46,0,0,0,46,0,0,,0,,24,114,47,0,0,0,0,0,22,0
Matheus Alves,BRA,"MF,FW",São Paulo,19,2005,4.1,184,1,43,82,62,7,184,17,8,47.1,9,52.9,109,644,274,10,8,2,23,8,129,17
Francis Amuzu,BEL,"FW,MF",Grêmio,25,1999,12.7,469,5,53,155,273,40,469,41,17,41.5,20,48.8,320,2505,1337,48,36,14,23,12,365,92
Felipe Anderson,BRA,"MF,FW",Palmeiras,31,1993,19.7,1154,25,204,559,423,44,1154,76,36,47.4,34,44.7,632,3537,1992,61,54,12,35,12,750,105
Kervin Andrade,VEN,"FW,MF",Fortaleza,19,2005,1.8,85,0,6,38,45,12,85,7,3,42.9,4,57.1,62,419,247,9,5,4,6,4,69,20
André,BRA,MF,Corinthians,18,2006,3.5,149,2,18,86,49,5,149,11,5,45.5,4,36.4,95,439,204,2,6,0,7,3,94,15
José Andrés Martínez,VEN,MF,Corinthians,30,1994,15.5,815,15,149,482,193,6,815,29,12,41.4,13,44.8,456,2112,978,19,17,0,21,6,544,59
Wilker Ángel,VEN,DF,Juventude,31,1993,15.8,783,143,477,285,22,13,783,2,1,50.0,0,0.0,393,1637,671,2,3,0,2,0,482,1
Fabrizio Angileri,ARG,DF,Corinthians,30,1994,18.2,1328,95,514,625,199,14,1328,19,12,63.2,7,36.8,721,3583,2053,34,22,4,10,8,802,58
Anthoni,BRA,GK,Internacional,23,2002,17.0,453,384,449,4,0,0,453,0,0,,0,,207,1172,703,0,0,0,3,0,165,0
Marcos Antônio,BRA,MF,São Paulo,24,2000,21.1,1287,42,258,746,290,24,1287,12,3,25.0,9,75.0,865,3854,1804,31,25,4,35,15,1015,109
Léo Aragão,BRA,GK,Cruzeiro,22,2002,3.7,98,93,98,0,0,0,98,0,0,,0,,32,212,156,0,0,0,0,0,20,0
Guilherme Arana,BRA,DF,Atlético Mineiro,27,1997,19.4,1358,55,295,590,485,57,1358,22,6,27.3,15,68.2,823,4145,2301,58,28,8,16,8,925,150
Willian Arão,BRA,MF,Santos,32,1992,8.7,469,46,159,271,48,9,469,2,1,50.0,1,50.0,226,966,456,3,4,0,9,3,271,4
Luiz Araújo,BRA,"FW,MF",Flamengo,28,1996,19.6,1091,16,114,408,581,61,1091,45,14,31.1,28,62.2,599,2808,1222,33,31,11,40,25,758,145
Matheus Araújo,BRA,"MF,FW",Ceará,22,2002,3.0,124,1,12,56,57,9,124,4,1,25.0,3,75.0,70,356,158,7,5,1,9,4,90,18
Michel Araujo,URU,"MF,FW",Bahia,28,1996,9.5,553,22,97,266,197,31,553,47,20,42.6,24,51.1,281,1708,844,29,21,4,20,14,361,49
Alexander Aravena,CHI,"FW,MF",Grêmio,22,2002,6.5,258,7,36,115,112,29,258,17,3,17.6,13,76.5,172,1090,479,19,13,2,14,8,199,36
