Player,Nation,Pos,Squad,Age,Born,90s,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_Sh/90,Standard_SoT/90,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_FK,Standard_PK,Standard_PKatt,Expected_xG,Expected_npxG,Expected_npxG/Sh,Expected_G-xG,Expected_np:G-xG
Abner,BRA,DF,Juventude,20,2004,14.6,0,3,1,33.3,0.2,0.07,0.0,0.0,7.0,0,0,0,0.3,0.3,0.11,-0.3,-0.3
Nicolás Acevedo,URU,MF,Bahia,25,1999,18.8,0,20,9,45.0,1.07,0.48,0.0,0.0,24.4,0,0,0,1.2,1.2,0.06,-1.2,-1.2
Luciano Acosta,ARG,MF,Fluminense,30,1994,13.3,3,22,8,36.4,1.65,0.6,0.14,0.38,19.0,2,0,0,3.0,3.0,0.13,0.0,0.0
Adriel,BRA,MF,Sport Recife,18,2006,1.6,0,1,0,0.0,0.61,0.0,0.0,,17.7,0,0,0,0.1,0.1,0.09,-0.1,-0.1
Adson,BRA,"FW,MF",Vasco da Gama,24,2000,2.3,0,3,2,66.7,1.29,0.86,0.0,0.0,20.2,0,0,0,0.1,0.1,0.04,-0.1,-0.1
Braian Aguirre,ARG,DF,Internacional,24,2000,26.5,1,24,4,16.7,0.9,0.15,0.04,0.25,27.8,0,0,0,0.8,0.8,0.03,0.2,0.2
Carlos Alberto,BRA,"FW,MF",Sport Recife,22,2002,3.7,0,3,2,66.7,0.82,0.55,0.0,0.0,17.9,0,0,0,0.5,0.5,0.17,-0.5,-0.5
Yuri Alberto,BRA,FW,Corinthians,23,2001,22.3,10,62,20,32.3,2.78,0.9,0.13,0.4,15.1,0,2,3,11.2,9.1,0.15,-1.2,-1.1
José Aldo,BRA,MF,Mirassol,26,1998,15.2,0,21,7,33.3,1.38,0.46,0.0,0.0,22.7,0,0,0,1.0,1.0,0.05,-1.0,-1.0
Alesson,BRA,FW,Mirassol,25,1999,16.2,6,31,12,38.7,1.92,0.74,0.19,0.5,13.7,0,0,0,6.1,6.1,0.2,-0.1,-0.1
Caio Alexandre,BRA,MF,Bahia,25,1999,14.5,0,10,1,10.0,0.69,0.07,0.0,0.0,26.5,0,0,0,0.3,0.3,0.03,-0.3,-0.3
Matheus Alexandre,BRA,DF,Sport Recife,25,1999,19.8,0,9,1,11.1,0.46,0.05,0.0,0.0,19.2,0,0,0,0.4,0.4,0.05,-0.4,-0.4
Alexsander,BRA,MF,Atlético Mineiro,21,2003,9.2,1,13,4,30.8,1.41,0.43,0.08,0.25,24.3,0,0,0,0.7,0.7,0.05,0.3,0.3
Alisson,BRA,MF,São Paulo,31,1993,21.8,0,18,7,38.9,0.83,0.32,0.0,0.0,22.7,2,0,0,1.0,1.0,0.06,-1.0,-1.0
Allan,BRA,"MF,FW",Palmeiras,20,2004,10.2,2,26,9,34.6,2.54,0.88,0.08,0.22,17.5,0,0,0,1.4,1.4,0.05,0.6,0.6
Allan,BRA,MF,Botafogo (RJ),34,1991,10.7,0,3,1,33.3,0.28,0.09,0.0,0.0,19.5,0,0,0,0.1,0.1,0.02,-0.1,-0.1
Allan,BRA,MF,Flamengo,27,1997,7.6,0,6,2,33.3,0.79,0.26,0.0,0.0,30.3,0,0,0,0.2,0.2,0.03,-0.2,-0.2
Allanzinho,BRA,"MF,FW",Fortaleza,24,2000,3.2,0,7,0,0.0,2.2,0.0,0.0,,21.8,0,0,0,0.4,0.4,0.06,-0.4,-0.4
Júnior Alonso,PAR,DF,Atlético Mineiro,31,1993,29.0,1,15,4,26.7,0.52,0.14,0.07,0.25,17.4,0,0,0,0.6,0.6,0.04,0.4,0.4
Dyogo Alves,BRA,GK,Flamengo,21,2004,1.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
Matheus Alves,BRA,"MF,FW",São Paulo,19,2005,4.1,0,7,0,0.0,1.7,0.0,0.0,,21.7,0,0,0,0.3,0.3,0.05,-0.3,-0.3
Francis Amuzu,BEL,"FW,MF",Grêmio,25,1999,12.7,4,42,17,40.5,3.3,1.34,0.1,0.24,21.1,1,0,0,2.1,2.1,0.05,1.9,1.9
Felipe Anderson,BRA,"MF,FW",Palmeiras,31,1993,19.7,4,36,11,30.6,1.83,0.56,0.11,0.36,22.4,3,0,0,2.3,2.3,0.06,1.7,1.7
Kervin Andrade,VEN,"FW,MF",Fortaleza,19,2005,1.8,0,4,2,50.0,2.21,1.1,0.0,0.0,20.0,0,0,0,0.3,0.3,0.09,-0.3,-0.3
André,BRA,MF,Corinthians,18,2006,3.5,2,5,2,40.0,1.43,0.57,0.4,1.0,19.7,0,0,0,0.7,0.7,0.14,1.3,1.3
José Andrés Martínez,VEN,MF,Corinthians,30,1994,15.5,1,12,4,33.3,0.77,0.26,0.08,0.25,25.8,0,0,0,0.6,0.6,0.05,0.4,0.4
Wilker Ángel,VEN,DF,Juventude,31,1993,15.8,1,11,6,54.5,0.7,0.38,0.09,0.17,11.4,0,0,0,0.5,0.5,0.05,0.5,0.5
