Player,Nation,Pos,Squad,Age,Born,90s,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Int,Tkl+Int,Clr,Err
Ragnar Ache,GER,FW,Köln,27-148,1998,6.0,5,3,0,3,2,1,4,25.0,3,5,1,4,0,5,19,0
Junior Adamu,AUT,FW,Freiburg,24-200,2001,5.0,11,6,8,3,0,2,3,66.7,1,3,2,1,6,17,6,0
Karim Adeyemi,GER,"MF,FW",Dortmund,23-339,2002,8.2,3,2,2,0,1,0,5,0.0,5,5,0,5,4,7,2,0
Oladapo Afolayan,ENG,"MF,FW",St. Pauli,27-314,1998,1.7,4,2,1,0,3,0,0,,0,4,1,3,0,4,2,0
Felix Agu,NGA,DF,Werder Bremen,26-087,1999,5.4,14,10,10,3,1,7,12,58.3,5,9,4,5,7,21,18,1
Kevin Akpoguma,NGA,DF,Hoffenheim,30-248,1995,0.3,1,0,1,0,0,1,1,100.0,0,0,0,0,1,2,3,0
Skelly Alvero,FRA,DF,Werder Bremen,23-233,2002,0.4,0,0,0,0,0,0,0,,0,1,1,0,1,1,3,0
Aurele Amenda,SUI,DF,Eint Frankfurt,22-145,2003,2.7,1,1,0,1,0,0,0,,0,3,3,0,4,5,30,0
Nadiem Amiri,GER,MF,Mainz 05,29-057,1996,12.5,21,12,9,8,4,10,16,62.5,6,19,3,16,11,32,9,0
Mohamed Amoura,ALG,FW,Wolfsburg,25-228,2000,10.4,21,12,12,8,1,10,21,47.6,11,8,1,7,4,25,9,1
Robert Andrich,GER,"DF,MF",Leverkusen,31-092,1994,11.6,22,16,15,6,1,8,9,88.9,1,10,1,9,12,34,26,1
Ilyas Ansah,GER,"MF,FW",Union Berlin,21-045,2004,12.1,5,4,2,2,1,2,9,22.2,7,6,1,5,4,9,10,0
Aaron Anselmino,ARG,DF,Dortmund,20-238,2005,3.8,9,9,8,0,1,5,10,50.0,5,4,2,2,4,13,14,1
Waldemar Anton,GER,DF,Dortmund,29-156,1996,13.0,27,15,10,14,3,15,22,68.2,7,17,7,10,10,37,72,1
Maximilian Arnold,GER,MF,Wolfsburg,31-210,1994,14.0,15,10,8,7,0,7,17,41.2,10,16,11,5,16,31,50,1
Arthur,BRA,DF,Leverkusen,22-281,2003,6.4,12,7,8,3,1,3,5,60.0,2,6,1,5,3,15,16,0
Fisnik Asllani,KVX,"FW,MF",Hoffenheim,23-137,2002,10.7,7,2,3,1,3,5,15,33.3,10,6,0,6,3,10,10,0
Lorenz Assignon,TOG,DF,Stuttgart,25-184,2000,5.6,7,5,5,2,0,4,7,57.1,3,9,2,7,8,15,17,0
Noah Atubolu,GER,GK,Freiburg,23-212,2002,15.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,10,1
Leon Avdullahu,KVX,MF,Hoffenheim,21-303,2004,14.4,17,11,5,10,2,11,23,47.8,12,17,4,13,16,33,21,0
Mio Backhaus,GER,GK,Werder Bremen,21-251,2004,13.0,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,11,0
Loïc Bade,FRA,DF,Leverkusen,25-256,2000,11.6,20,12,16,2,2,10,12,83.3,2,15,8,7,13,33,70,1
Johan Bakayoko,BEL,FW,RB Leipzig,22-247,2003,7.4,5,2,3,2,0,1,5,20.0,4,3,0,3,1,6,3,0
Ridle Baku,GER,DF,RB Leipzig,27-259,1998,12.0,31,19,22,6,3,21,37,56.8,16,24,5,19,11,42,45,2
Fabio Baldé,POR,"FW,MF",Hamburger SV,20-156,2005,2.8,6,3,2,2,2,1,6,16.7,5,1,0,1,0,6,3,0
Noahkai Banks,USA,DF,Augsburg,19-022,2006,9.9,21,12,15,4,2,15,19,78.9,4,13,6,7,7,28,42,0
Ezechiel Banzuzi,NED,MF,RB Leipzig,20-310,2005,3.7,9,6,7,1,1,3,4,75.0,1,7,3,4,5,14,23,0
