Unnamed: 0_level_0_Rk,Unnamed: 1_level_0_Player,Unnamed: 2_level_0_Nation,Unnamed: 3_level_0_Pos,Unnamed: 4_level_0_Squad,Unnamed: 5_level_0_Age,Unnamed: 6_level_0_Born,Unnamed: 7_level_0_90s,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Aerial Duels_Won,Aerial Duels_Lost,Aerial Duels_Won%,Unnamed: 24_level_0_Matches
1,Ragnar Ache,de GER,FW,Köln,27-148,1998,6.0,1,0,0,7,14,3,0,0,3,1,0,0,14,46,30,60.5,Matches
2,Junior Adamu,at AUT,FW,Freiburg,24-200,2001,5.0,1,0,0,10,9,6,2,6,6,0,0,0,14,23,28,45.1,Matches
3,Karim Adeyemi,de GER,"MF,FW",Dortmund,23-339,2002,8.2,2,0,0,13,18,3,6,4,2,1,0,0,21,5,7,41.7,Matches
4,Oladapo Afolayan,eng ENG,"MF,FW",St. Pauli,27-314,1998,1.7,1,0,0,2,6,0,10,0,2,0,0,0,4,3,4,42.9,Matches
5,Felix Agu,ng NGA,DF,Werder Bremen,26-087,1999,5.4,1,0,0,7,11,2,7,7,10,0,0,0,23,8,3,72.7,Matches
6,Kevin Akpoguma,ng NGA,DF,Hoffenheim,30-248,1995,0.3,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,100.0,Matches
7,Skelly Alvero,fr FRA,DF,Werder Bremen,23-233,2002,0.4,0,0,0,0,1,0,0,1,0,0,0,0,2,0,0,,Matches
8,Aurele Amenda,ch SUI,DF,Eint Frankfurt,22-145,2003,2.7,2,0,0,2,3,0,0,4,1,0,0,0,15,14,5,73.7,Matches
9,Nadiem Amiri,de GER,MF,Mainz 05,29-057,1996,12.5,5,0,0,14,13,1,68,11,12,0,0,0,58,8,9,47.1,Matches
10,Mohamed Amoura,dz ALG,FW,Wolfsburg,25-228,2000,10.4,2,0,0,12,9,9,15,4,12,1,0,0,31,11,27,28.9,Matches
11,Robert Andrich,de GER,"DF,MF",Leverkusen,31-092,1994,11.6,3,1,1,17,7,0,5,12,16,0,0,0,40,18,9,66.7,Matches
12,Ilyas Ansah,de GER,"MF,FW",Union Berlin,21-045,2004,12.1,0,0,0,11,20,7,11,4,4,0,0,0,47,7,27,20.6,Matches
13,Aaron Anselmino,ar ARG,DF,Dortmund,20-238,2005,3.8,0,0,0,6,3,0,0,4,9,0,0,0,18,9,5,64.3,Matches
14,Waldemar Anton,de GER,DF,Dortmund,29-156,1996,13.0,1,0,0,10,10,0,7,10,15,0,0,0,60,26,20,56.5,Matches
15,Maximilian Arnold,de GER,MF,Wolfsburg,31-210,1994,14.0,4,0,0,14,18,0,53,16,10,0,0,0,40,8,7,53.3,Matches
16,Arthur,br BRA,DF,Leverkusen,22-281,2003,6.4,2,0,0,8,5,2,15,3,7,0,1,0,28,10,5,66.7,Matches
17,Fisnik Asllani,xk KVX,"FW,MF",Hoffenheim,23-137,2002,10.7,1,0,0,8,21,7,2,3,2,0,0,0,33,13,32,28.9,Matches
