Unnamed: 0_level_0_Rk,Unnamed: 1_level_0_Player,Unnamed: 2_level_0_Nation,Unnamed: 3_level_0_Pos,Unnamed: 4_level_0_Squad,Unnamed: 5_level_0_Age,Unnamed: 6_level_0_Born,Unnamed: 7_level_0_90s,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Unnamed: 22_level_0_Ast,Unnamed: 23_level_0_xAG,Expected_xA,Expected_A-xAG,Unnamed: 26_level_0_KP,Unnamed: 27_level_0_1/3,Unnamed: 28_level_0_PPA,Unnamed: 29_level_0_CrsPA,Unnamed: 30_level_0_PrgP,Unnamed: 31_level_0_Matches
1,Ragnar Ache,de GER,FW,Köln,27-148,1998,6.0,71,113,62.8,1010,229,42,66,63.6,26,32,81.3,2,3,66.7,3,1.2,0.4,+1.8,10,8,3,0,11,Matches
2,Junior Adamu,at AUT,FW,Freiburg,24-200,2001,5.0,49,85,57.6,642,110,29,41,70.7,15,27,55.6,1,2,50.0,1,1.2,0.2,-0.2,4,1,2,1,4,Matches
3,Karim Adeyemi,de GER,"MF,FW",Dortmund,23-339,2002,8.2,139,196,70.9,1903,401,83,101,82.2,46,61,75.4,3,9,33.3,1,1.6,1.8,-0.6,9,8,5,1,19,Matches
4,Oladapo Afolayan,eng ENG,"MF,FW",St. Pauli,27-314,1998,1.7,50,75,66.7,858,159,28,32,87.5,16,23,69.6,5,12,41.7,0,0.1,0.2,-0.1,2,5,2,1,7,Matches
5,Felix Agu,ng NGA,DF,Werder Bremen,26-087,1999,5.4,198,248,79.8,3254,661,96,111,86.5,83,94,88.3,12,27,44.4,0,0.4,0.4,-0.4,5,8,3,2,12,Matches
6,Kevin Akpoguma,ng NGA,DF,Hoffenheim,30-248,1995,0.3,5,9,55.6,91,37,2,3,66.7,3,6,50.0,0,0,,0,0.0,0.0,0.0,0,1,0,0,0,Matches
7,Skelly Alvero,fr FRA,DF,Werder Bremen,23-233,2002,0.4,23,24,95.8,447,103,8,8,100.0,14,14,100.0,1,2,50.0,0,0.0,0.0,0.0,0,2,0,0,2,Matches
8,Aurele Amenda,ch SUI,DF,Eint Frankfurt,22-145,2003,2.7,179,204,87.7,3339,1069,77,80,96.3,83,88,94.3,18,33,54.5,0,0.0,0.1,0.0,0,11,1,0,7,Matches
9,Nadiem Amiri,de GER,MF,Mainz 05,29-057,1996,12.5,555,736,75.4,10211,3943,248,284,87.3,222,261,85.1,74,151,49.0,1,2.0,3.4,-1.0,27,79,34,2,98,Matches
10,Mohamed Amoura,dz ALG,FW,Wolfsburg,25-228,2000,10.4,163,236,69.1,2520,320,83,112,74.1,60,77,77.9,11,19,57.9,2,2.3,1.0,-0.3,18,6,7,2,16,Matches
11,Robert Andrich,de GER,"DF,MF",Leverkusen,31-092,1994,11.6,693,773,89.7,11593,3107,329,354,92.9,305,331,92.1,47,68,69.1,0,0.3,0.9,-0.3,5,61,7,2,46,Matches
12,Ilyas Ansah,de GER,"MF,FW",Union Berlin,21-045,2004,12.1,139,183,76.0,1858,396,90,100,90.0,37,49,75.5,6,12,50.0,1,1.1,0.7,-0.1,9,9,7,2,21,Matches
13,Aaron Anselmino,ar ARG,DF,Dortmund,20-238,2005,3.8,180,205,87.8,3091,956,73,80,91.3,101,111,91.0,6,8,75.0,0,0.0,0.1,0.0,0,20,1,0,19,Matches
14,Waldemar Anton,de GER,DF,Dortmund,29-156,1996,13.0,881,981,89.8,16732,5428,258,270,95.6,565,597,94.6,48,89,53.9,0,0.1,0.5,-0.1,3,72,6,2,69,Matches
15,Maximilian Arnold,de GER,MF,Wolfsburg,31-210,1994,14.0,562,703,79.9,11446,3576,189,209,90.4,267,306,87.3,96,168,57.1,3,2.7,3.3,+0.3,24,45,9,2,51,Matches
16,Arthur,br BRA,DF,Leverkusen,22-281,2003,6.4,210,262,80.2,3192,802,118,133,88.7,76,90,84.4,10,21,47.6,3,1.0,1.1,+2.0,7,11,8,3,20,Matches
17,Fisnik Asllani,xk KVX,"FW,MF",Hoffenheim,23-137,2002,10.7,176,262,67.2,2326,707,120,159,75.5,42,65,64.6,5,12,41.7,2,1.9,1.3,+0.1,19,15,16,2,30,Matches
18,Lorenz Assignon,tg TOG,DF,Stuttgart,25-184,2000,5.6,225,286,78.7,3150,1010,135,157,86.0,80,103,77.7,3,12,25.0,0,0.6,0.7,-0.6,3,14,3,1,15,Matches
19,Noah Atubolu,de GER,GK,Freiburg,23-212,2002,15.0,452,646,70.0,13881,10256,64,65,98.5,204,206,99.0,182,371,49.1,0,0.2,0.4,-0.2,1,23,2,0,3,Matches
20,Leon Avdullahu,xk KVX,MF,Hoffenheim,21-303,2004,14.4,760,867,87.7,13452,4426,340,377,90.2,336,362,92.8,73,97,75.3,1,0.7,0.8,+0.3,9,78,7,1,72,Matches
21,Mio Backhaus,de GER,GK,Werder Bremen,21-251,2004,13.0,388,463,83.8,9257,5732,80,80,100.0,227,229,99.1,80,151,53.0,0,0.0,0.0,0.0,0,4,0,0,0,Matches
22,Loïc Bade,fr FRA,DF,Leverkusen,25-256,2000,11.6,891,963,92.5,15007,5703,399,416,95.9,442,470,94.0,45,67,67.2,0,0.1,0.4,-0.1,2,70,0,0,34,Matches
23,Johan Bakayoko,be BEL,FW,RB Leipzig,22-247,2003,7.4,194,241,80.5,2476,348,124,138,89.9,41,59,69.5,9,17,52.9,0,0.7,1.0,-0.7,8,5,8,2,15,Matches
24,Ridle Baku,de GER,DF,RB Leipzig,27-259,1998,12.0,722,853,84.6,12943,4777,295,318,92.8,348,390,89.2,68,103,66.0,2,2.5,2.6,-0.5,19,45,13,1,83,Matches
