Unnamed: 0_level_0_Rk,Unnamed: 1_level_0_Player,Unnamed: 2_level_0_Nation,Unnamed: 3_level_0_Pos,Unnamed: 4_level_0_Squad,Unnamed: 5_level_0_Age,Unnamed: 6_level_0_Born,Unnamed: 7_level_0_90s,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_PrgC,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Receiving_Rec,Receiving_PrgR,Unnamed: 30_level_0_Matches
1,Ragnar Ache,de GER,FW,Köln,27-148,1998,6.0,200,22,33,84,84,32,200,8,2,25.0,5,62.5,76,304,123,3,6,0,21,9,141,17,Matches
2,Junior Adamu,at AUT,FW,Freiburg,24-200,2001,5.0,168,12,26,78,66,21,168,14,5,35.7,7,50.0,83,392,89,2,4,1,25,3,115,28,Matches
3,Karim Adeyemi,de GER,"MF,FW",Dortmund,23-339,2002,8.2,324,3,32,98,198,46,324,42,14,33.3,27,64.3,215,1323,684,25,17,14,33,15,246,77,Matches
4,Oladapo Afolayan,eng ENG,"MF,FW",St. Pauli,27-314,1998,1.7,111,3,6,36,70,7,111,13,2,15.4,10,76.9,81,532,246,7,3,3,8,7,101,19,Matches
5,Felix Agu,ng NGA,DF,Werder Bremen,26-087,1999,5.4,318,24,114,135,72,6,318,6,2,33.3,2,33.3,161,799,333,9,6,1,8,3,168,28,Matches
6,Kevin Akpoguma,ng NGA,DF,Hoffenheim,30-248,1995,0.3,14,3,12,2,0,0,14,0,0,,0,,4,24,4,0,0,0,0,0,5,0,Matches
7,Skelly Alvero,fr FRA,DF,Werder Bremen,23-233,2002,0.4,31,7,13,17,1,0,31,0,0,,0,,22,86,44,1,0,0,0,0,21,0,Matches
8,Aurele Amenda,ch SUI,DF,Eint Frankfurt,22-145,2003,2.7,246,31,108,131,10,3,246,2,0,0.0,1,50.0,136,509,312,2,2,0,1,1,146,1,Matches
9,Nadiem Amiri,de GER,MF,Mainz 05,29-057,1996,12.5,881,23,130,437,333,29,878,30,14,46.7,15,50.0,479,2418,1092,21,18,4,20,18,535,33,Matches
10,Mohamed Amoura,dz ALG,FW,Wolfsburg,25-228,2000,10.4,375,2,49,148,183,52,374,20,5,25.0,14,70.0,195,1123,523,26,12,14,32,11,238,73,Matches
