Unnamed: 0_level_0_Rk,Unnamed: 1_level_0_Player,Unnamed: 2_level_0_Nation,Unnamed: 3_level_0_Pos,Unnamed: 4_level_0_Squad,Unnamed: 5_level_0_Age,Unnamed: 6_level_0_Born,Unnamed: 7_level_0_90s,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_Sh/90,Standard_SoT/90,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_FK,Standard_PK,Standard_PKatt,Expected_xG,Expected_npxG,Expected_npxG/Sh,Expected_G-xG,Expected_np:G-xG,Unnamed: 25_level_0_Matches
1,Ragnar Ache,de GER,FW,Köln,27-148,1998,6.0,1,13,4,30.8,2.17,0.67,0.08,0.25,13.9,0,0,0,2.5,2.5,0.20,-1.5,-1.5,Matches
2,Junior Adamu,at AUT,FW,Freiburg,24-200,2001,5.0,1,7,3,42.9,1.41,0.61,0.14,0.33,9.6,0,0,0,1.6,1.6,0.23,-0.6,-0.6,Matches
3,Karim Adeyemi,de GER,"MF,FW",Dortmund,23-339,2002,8.2,4,20,9,45.0,2.45,1.10,0.20,0.44,16.4,0,0,0,2.7,2.7,0.13,+1.3,+1.3,Matches
4,Oladapo Afolayan,eng ENG,"MF,FW",St. Pauli,27-314,1998,1.7,0,4,2,50.0,2.40,1.20,0.00,0.00,19.7,0,0,0,0.6,0.6,0.15,-0.6,-0.6,Matches
5,Felix Agu,ng NGA,DF,Werder Bremen,26-087,1999,5.4,0,1,1,100.0,0.19,0.19,0.00,0.00,30.7,0,0,0,0.0,0.0,0.01,0.0,0.0,Matches
6,Kevin Akpoguma,ng NGA,DF,Hoffenheim,30-248,1995,0.3,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
7,Skelly Alvero,fr FRA,DF,Werder Bremen,23-233,2002,0.4,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
8,Aurele Amenda,ch SUI,DF,Eint Frankfurt,22-145,2003,2.7,0,1,0,0.0,0.37,0.00,0.00,,8.7,0,0,0,0.1,0.1,0.07,-0.1,-0.1,Matches
9,Nadiem Amiri,de GER,MF,Mainz 05,29-057,1996,12.5,3,21,3,14.3,1.68,0.24,0.00,0.00,26.5,4,3,3,3.2,0.8,0.04,-0.2,-0.8,Matches
10,Mohamed Amoura,dz ALG,FW,Wolfsburg,25-228,2000,10.4,6,28,10,35.7,2.69,0.96,0.18,0.50,15.3,0,1,1,5.3,4.6,0.16,+0.7,+0.4,Matches
11,Robert Andrich,de GER,"DF,MF",Leverkusen,31-092,1994,11.6,1,5,2,40.0,0.43,0.17,0.20,0.50,15.8,0,0,0,0.4,0.4,0.07,+0.6,+0.6,Matches
12,Ilyas Ansah,de GER,"MF,FW",Union Berlin,21-045,2004,12.1,5,19,8,42.1,1.57,0.66,0.26,0.63,17.1,0,0,0,2.0,2.0,0.10,+3.0,+3.0,Matches
13,Aaron Anselmino,ar ARG,DF,Dortmund,20-238,2005,3.8,1,1,1,100.0,0.26,0.26,1.00,1.00,9.5,0,0,0,0.1,0.1,0.08,+0.9,+0.9,Matches
14,Waldemar Anton,de GER,DF,Dortmund,29-156,1996,13.0,1,6,1,16.7,0.46,0.08,0.17,1.00,16.6,0,0,0,0.4,0.4,0.06,+0.6,+0.6,Matches
15,Maximilian Arnold,de GER,MF,Wolfsburg,31-210,1994,14.0,1,8,4,50.0,0.57,0.29,0.13,0.25,25.8,1,0,0,0.3,0.3,0.03,+0.7,+0.7,Matches
16,Arthur,br BRA,DF,Leverkusen,22-281,2003,6.4,0,6,1,16.7,0.94,0.16,0.00,0.00,25.9,0,0,0,0.7,0.7,0.11,-0.7,-0.7,Matches
