Unnamed: 0_level_0_Rk,Unnamed: 1_level_0_Player,Unnamed: 2_level_0_Nation,Unnamed: 3_level_0_Pos,Unnamed: 4_level_0_Squad,Unnamed: 5_level_0_Age,Unnamed: 6_level_0_Born,Playing Time_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Expected_xG,Expected_npxG,Expected_xAG,Expected_npxG+xAG,Progression_PrgC,Progression_PrgP,Progression_PrgR,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK,Per 90 Minutes_xG,Per 90 Minutes_xAG,Per 90 Minutes_xG+xAG,Per 90 Minutes_npxG,Per 90 Minutes_npxG+xAG,Unnamed: 36_level_0_Matches
1,Ragnar Ache,de GER,FW,Köln,27-148,1998,14,4,538,6.0,1,3,4,1,0,0,1,0,2.5,2.5,1.2,3.7,3,11,17,0.17,0.50,0.67,0.17,0.67,0.43,0.19,0.62,0.43,0.62,Matches
2,Junior Adamu,at AUT,FW,Freiburg,24-200,2001,9,7,446,5.0,1,1,2,1,0,0,1,0,1.6,1.6,1.2,2.7,2,4,28,0.20,0.20,0.40,0.20,0.40,0.32,0.23,0.55,0.32,0.55,Matches
3,Karim Adeyemi,de GER,"MF,FW",Dortmund,23-339,2002,15,10,735,8.2,4,1,5,4,0,0,2,0,2.7,2.7,1.6,4.2,25,19,77,0.49,0.12,0.61,0.49,0.61,0.33,0.19,0.52,0.33,0.52,Matches
4,Oladapo Afolayan,eng ENG,"MF,FW",St. Pauli,27-314,1998,7,1,150,1.7,0,0,0,0,0,0,1,0,0.6,0.6,0.1,0.7,7,7,19,0.00,0.00,0.00,0.00,0.00,0.37,0.08,0.45,0.37,0.45,Matches
5,Felix Agu,ng NGA,DF,Werder Bremen,26-087,1999,6,6,483,5.4,0,0,0,0,0,0,1,0,0.0,0.0,0.4,0.4,9,12,28,0.00,0.00,0.00,0.00,0.00,0.00,0.07,0.07,0.00,0.07,Matches
6,Kevin Akpoguma,ng NGA,DF,Hoffenheim,30-248,1995,2,0,25,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
7,Skelly Alvero,fr FRA,DF,Werder Bremen,23-233,2002,2,0,34,0.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,2,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
8,Aurele Amenda,ch SUI,DF,Eint Frankfurt,22-145,2003,7,2,246,2.7,0,0,0,0,0,0,2,0,0.1,0.1,0.0,0.1,2,7,1,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.02,0.02,0.02,Matches
9,Nadiem Amiri,de GER,MF,Mainz 05,29-057,1996,13,13,1123,12.5,3,1,4,0,3,3,5,0,3.2,0.8,2.0,2.8,21,98,33,0.24,0.08,0.32,0.00,0.08,0.26,0.16,0.42,0.07,0.23,Matches
10,Mohamed Amoura,dz ALG,FW,Wolfsburg,25-228,2000,14,11,938,10.4,6,2,8,5,1,1,2,0,5.3,4.6,2.3,6.9,26,16,73,0.58,0.19,0.77,0.48,0.67,0.51,0.23,0.74,0.44,0.66,Matches
11,Robert Andrich,de GER,"DF,MF",Leverkusen,31-092,1994,14,12,1046,11.6,1,0,1,1,0,0,3,1,0.4,0.4,0.3,0.6,21,46,17,0.09,0.00,0.09,0.09,0.09,0.03,0.02,0.05,0.03,0.05,Matches
12,Ilyas Ansah,de GER,"MF,FW",Union Berlin,21-045,2004,15,13,1090,12.1,5,1,6,5,0,0,0,0,2.0,2.0,1.1,3.1,23,21,54,0.41,0.08,0.50,0.41,0.50,0.16,0.09,0.26,0.16,0.26,Matches
13,Aaron Anselmino,ar ARG,DF,Dortmund,20-238,2005,5,4,346,3.8,1,0,1,1,0,0,0,0,0.1,0.1,0.0,0.1,6,19,2,0.26,0.00,0.26,0.26,0.26,0.02,0.00,0.02,0.02,0.02,Matches
14,Waldemar Anton,de GER,DF,Dortmund,29-156,1996,13,13,1170,13.0,1,0,1,1,0,0,1,0,0.4,0.4,0.1,0.4,13,69,6,0.08,0.00,0.08,0.08,0.08,0.03,0.01,0.03,0.03,0.03,Matches
