Unnamed: 0_level_0_Rk,Unnamed: 1_level_0_Player,Unnamed: 2_level_0_Nation,Unnamed: 3_level_0_Pos,Unnamed: 4_level_0_Squad,Unnamed: 5_level_0_Age,Unnamed: 6_level_0_Born,Unnamed: 7_level_0_90s,SCA_SCA,SCA_SCA90,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,GCA_GCA,GCA_GCA90,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Unnamed: 24_level_0_Matches
1,James Abankwah,ie IRL,DF,Watford,21-341,2004,9.1,14,1.54,14,0,0,0,0,0,2,0.22,2,0,0,0,0,0,Matches
2,Ebou Adams,gm GAM,MF,Derby County,29-342,1996,14.3,16,1.12,10,0,0,4,2,0,2,0.14,1,0,0,0,1,0,Matches
3,Kealey Adamson,au AUS,DF,QPR,22-289,2003,0.5,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
4,Patrick Agyemang,us USA,"FW,MF",Derby County,25-046,2000,14.5,42,2.90,24,0,7,6,4,1,7,0.48,4,0,2,0,1,0,Matches
5,Semi Ajayi,ng NGA,DF,Hull City,32-044,1993,9.7,6,0.62,5,0,0,0,1,0,1,0.10,1,0,0,0,0,0,Matches
6,Babajide Akintola,ng NGA,"FW,MF",Hull City,29-344,1996,4.7,10,2.13,10,0,0,0,0,0,2,0.43,2,0,0,0,0,0,Matches
7,Chuba Akpom,eng ENG,"MF,FW",Ipswich Town,30-075,1995,7.3,26,3.58,18,0,1,2,4,1,2,0.28,1,0,0,0,1,0,Matches
8,Yisa Alao,,DF,Sheffield Weds,,,0.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
9,Ryan Alebiosu,ng NGA,DF,Blackburn,24-006,2001,19.1,44,2.19,37,1,4,2,0,0,4,0.20,3,0,1,0,0,0,Matches
10,Jamie Allen,eng ENG,MF,Coventry City,30-328,1995,5.1,7,1.38,6,0,0,1,0,0,2,0.40,2,0,0,0,0,0,Matches
11,Max Alleyne,eng ENG,DF,Watford,20-155,2005,11.0,13,1.18,11,1,0,1,0,0,1,0.09,1,0,0,0,0,0,Matches
