Player,Nation,Pos,Squad,Age,Born,90s,SCA_SCA,SCA_SCA90,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,GCA_GCA,GCA_GCA90,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def
James Abankwah,IRL,DF,Watford,21-341,2004.0,9.1,14,1.54,14,0,0,0,0,0,2,0.22,2,0,0,0,0,0
Ebou Adams,GAM,MF,Derby County,29-342,1996.0,14.3,16,1.12,10,0,0,4,2,0,2,0.14,1,0,0,0,1,0
Kealey Adamson,AUS,DF,QPR,22-289,2003.0,0.5,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Patrick Agyemang,USA,"FW,MF",Derby County,25-046,2000.0,14.5,42,2.9,24,0,7,6,4,1,7,0.48,4,0,2,0,1,0
Semi Ajayi,NGA,DF,Hull City,32-044,1993.0,9.7,6,0.62,5,0,0,0,1,0,1,0.1,1,0,0,0,0,0
Babajide Akintola,NGA,"FW,MF",Hull City,29-344,1996.0,4.7,10,2.13,10,0,0,0,0,0,2,0.43,2,0,0,0,0,0
Chuba Akpom,ENG,"MF,FW",Ipswich Town,30-075,1995.0,7.3,26,3.58,18,0,1,2,4,1,2,0.28,1,0,0,0,1,0
Yisa Alao,,DF,Sheffield Weds,,,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Ryan Alebiosu,NGA,DF,Blackburn,24-006,2001.0,19.1,44,2.19,37,1,4,2,0,0,4,0.2,3,0,1,0,0,0
Jamie Allen,ENG,MF,Coventry City,30-328,1995.0,5.1,7,1.38,6,0,0,1,0,0,2,0.4,2,0,0,0,0,0
Max Alleyne,ENG,DF,Watford,20-155,2005.0,11.0,13,1.18,11,1,0,1,0,0,1,0.09,1,0,0,0,0,0
Ryan Allsop,ENG,GK,Birmingham City,33-189,1992.0,10.0,2,0.2,2,0,0,0,0,0,0,0.0,0,0,0,0,0,0
