Player,Nation,Pos,Squad,Age,Born,90s,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Ast,xAG,Expected_xA,Expected_A-xAG,KP,1/3,PPA,CrsPA,PrgP
James Abankwah,IRL,DF,Watford,21-341,2004.0,9.1,394,482,81.7,7156,2525,149,163,91.4,204,227,89.9,34,73,46.6,0,0.3,0.1,-0.3,7,27,1,0,26
Ebou Adams,GAM,MF,Derby County,29-342,1996.0,14.3,348,441,78.9,6418,1407,146,171,85.4,154,182,84.6,44,72,61.1,0,0.2,0.6,-0.2,3,34,7,3,38
Kealey Adamson,AUS,DF,QPR,22-289,2003.0,0.5,19,22,86.4,358,82,7,7,100.0,10,11,90.9,2,3,66.7,0,0.0,0.0,0.0,0,0,0,0,0
Patrick Agyemang,USA,"FW,MF",Derby County,25-046,2000.0,14.5,165,234,70.5,2140,387,101,136,74.3,50,62,80.6,3,5,60.0,3,1.7,1.1,1.3,17,9,7,0,23
Semi Ajayi,NGA,DF,Hull City,32-044,1993.0,9.7,287,390,73.6,5896,2222,83,95,87.4,170,203,83.7,32,85,37.6,0,0.0,0.0,0.0,0,28,0,0,24
Babajide Akintola,NGA,"FW,MF",Hull City,29-344,1996.0,4.7,78,108,72.2,1164,291,49,66,74.2,22,28,78.6,5,10,50.0,1,1.0,0.8,0.0,6,4,3,1,5
Chuba Akpom,ENG,"MF,FW",Ipswich Town,30-075,1995.0,7.3,144,176,81.8,2074,406,81,96,84.4,55,61,90.2,3,6,50.0,0,0.6,0.2,-0.6,11,13,1,0,19
Yisa Alao,,DF,Sheffield Weds,,,0.0,2,2,100.0,28,5,2,2,100.0,0,0,,0,0,,0,0.0,0.0,0.0,0,0,0,0,0
Ryan Alebiosu,NGA,DF,Blackburn,24-006,2001.0,19.1,474,659,71.9,8005,2754,232,261,88.9,186,258,72.1,40,88,45.5,2,3.5,3.4,-1.5,24,48,25,17,73
Jamie Allen,ENG,MF,Coventry City,30-328,1995.0,5.1,219,245,89.4,3676,681,102,114,89.5,96,99,97.0,16,17,94.1,1,0.2,0.4,0.8,3,17,1,0,16
Max Alleyne,ENG,DF,Watford,20-155,2005.0,11.0,470,587,80.1,9364,3671,157,180,87.2,253,279,90.7,54,114,47.4,0,0.3,0.2,-0.3,2,46,2,1,56
Ryan Allsop,ENG,GK,Birmingham City,33-189,1992.0,10.0,305,451,67.6,7156,4387,80,80,100.0,170,174,97.7,53,192,27.6,0,0.0,0.0,0.0,0,15,0,0,0
