Unnamed: 0_level_0_Rk,Unnamed: 1_level_0_Player,Unnamed: 2_level_0_Nation,Unnamed: 3_level_0_Pos,Unnamed: 4_level_0_Squad,Unnamed: 5_level_0_Age,Unnamed: 6_level_0_Born,Unnamed: 7_level_0_90s,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Unnamed: 20_level_0_Int,Unnamed: 21_level_0_Tkl+Int,Unnamed: 22_level_0_Clr,Unnamed: 23_level_0_Err,Unnamed: 24_level_0_Matches
1,Brenden Aaronson,us USA,"FW,MF",Leeds United,25-062,2000,10.1,26,14,12,9,5,14,30,46.7,16,16,1,15,8,34,12,0,Matches
2,Zach Abbott,eng ENG,DF,Nott'ham Forest,19-224,2006,0.5,1,1,1,0,0,1,1,100.0,0,0,0,0,0,1,7,0,Matches
3,Joshua Acheampong,eng ENG,DF,Chelsea,19-232,2006,3.9,2,2,1,1,0,1,2,50.0,1,6,2,4,7,9,13,4,Matches
4,Tyler Adams,us USA,MF,Bournemouth,26-312,1999,13.3,35,16,14,15,6,23,36,63.9,13,21,5,16,21,56,26,1,Matches
5,Tosin Adarabioyo,eng ENG,DF,Chelsea,28-090,1997,6.2,13,6,7,5,1,1,3,33.3,2,4,3,1,6,19,42,1,Matches
6,Simon Adingra,ci CIV,"FW,MF",Sunderland,23-356,2002,4.2,7,5,2,3,2,4,9,44.4,5,3,0,3,0,7,7,0,Matches
7,Amine Adli,ma MAR,"FW,MF",Bournemouth,25-227,2000,4.4,17,4,6,8,3,11,14,78.6,3,9,1,8,3,20,9,0,Matches
8,Emmanuel Agbadou,ci CIV,DF,Wolves,28-189,1997,11.2,28,17,15,10,3,18,24,75.0,6,17,14,3,12,40,65,2,Matches
9,Nayef Aguerd,ma MAR,DF,West Ham,29-268,1996,2.0,1,0,1,0,0,0,0,,0,4,2,2,1,2,11,0,Matches
10,Ola Aina,ng NGA,DF,Nott'ham Forest,29-076,1996,3.0,6,3,2,2,2,4,4,100.0,0,1,0,1,5,11,14,0,Matches
11,Rayan Aït-Nouri,dz ALG,DF,Manchester City,24-200,2001,2.3,9,6,7,2,0,3,7,42.9,4,5,0,5,5,14,9,0,Matches
12,Kristoffer Ajer,no NOR,DF,Brentford,27-250,1998,6.8,18,11,8,9,1,11,16,68.8,5,7,1,6,9,27,27,0,Matches
13,Nathan Aké,nl NED,DF,Manchester City,30-308,1995,2.5,3,3,3,0,0,2,2,100.0,0,1,0,1,1,4,10,1,Matches
14,Carlos Alcaraz,ar ARG,"MF,FW",Everton,23-023,2002,6.6,10,5,2,5,3,7,19,36.8,12,9,2,7,3,13,2,2,Matches
15,Omar Alderete,py PAR,DF,Sunderland,28-362,1996,12.4,14,6,9,5,0,8,13,61.5,5,13,11,2,18,32,75,0,Matches
16,Alisson,br BRA,GK,Liverpool,33-082,1992,12.0,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,10,2,Matches
17,Ethan Ampadu,wls WAL,MF,Leeds United,25-100,2000,14.7,35,22,11,17,7,15,23,65.2,8,16,4,12,18,53,38,1,Matches
18,Joachim Andersen,dk DEN,DF,Fulham,29-206,1996,15.5,22,13,17,4,1,16,26,61.5,10,11,8,3,18,40,126,1,Matches
19,Elliot Anderson,eng ENG,MF,Nott'ham Forest,23-047,2002,17.0,43,28,22,12,9,20,41,48.8,21,31,6,25,16,59,15,2,Matches
20,André,br BRA,MF,Wolves,24-160,2001,13.8,34,16,18,11,5,15,33,45.5,18,20,7,13,14,48,34,5,Matches
21,Jaidon Anthony,eng ENG,"MF,FW",Burnley,26-022,1999,12.5,19,8,3,14,2,11,23,47.8,12,18,4,14,8,27,15,2,Matches
22,Alphonse Areola,fr FRA,GK,West Ham,32-299,1993,13.0,0,0,0,0,0,0,0,,0,0,0,0,1,1,4,2,Matches
23,Jhon Arias,co COL,"FW,MF",Wolves,28-093,1997,9.0,30,18,12,11,7,12,22,54.5,10,19,2,17,5,35,11,0,Matches
24,Harrison Armstrong,eng ENG,FW,Everton,18-338,2007,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
25,Tolu Arokodare,ng NGA,FW,Wolves,25-030,2000,3.8,3,1,1,2,0,1,2,50.0,1,1,0,1,1,4,13,0,Matches
26,Taiwo Awoniyi,ng NGA,FW,Nott'ham Forest,28-133,1997,1.7,1,1,0,1,0,0,3,0.0,3,0,0,0,1,2,1,0,Matches
27,Yasin Ayari,se SWE,MF,Brighton,22-078,2003,13.0,29,16,9,13,7,12,32,37.5,20,5,1,4,16,45,11,1,Matches
28,Benoît Badiashile,fr FRA,DF,Chelsea,24-272,2001,1.7,2,1,0,2,0,0,0,,0,2,1,1,3,5,6,0,Matches
29,Dilane Bakwa,fr FRA,"FW,MF",Nott'ham Forest,23-119,2002,1.9,0,0,0,0,0,0,2,0.0,2,2,1,1,0,0,2,0,Matches
30,Carlos Baleba,cm CMR,MF,Brighton,21-354,2004,10.0,18,10,3,12,3,5,16,31.3,11,9,2,7,15,33,18,1,Matches
31,Daniel Ballard,nir NIR,DF,Sunderland,26-092,1999,12.5,19,10,10,7,2,9,12,75.0,3,15,13,2,8,27,94,1,Matches
32,Ross Barkley,eng ENG,MF,Aston Villa,32-018,1993,1.3,3,2,0,3,0,2,5,40.0,3,1,1,0,0,3,1,0,Matches
33,Ashley Barnes,eng ENG,FW,Burnley,36-054,1989,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
34,Harvey Barnes,eng ENG,FW,Newcastle Utd,28-014,1997,8.2,4,2,0,4,0,2,8,25.0,6,6,0,6,1,5,7,0,Matches
35,Thierno Barry,fr FRA,FW,Everton,23-063,2002,9.2,1,0,0,0,1,0,6,0.0,6,6,1,5,2,3,8,0,Matches
36,Calvin Bassey,ng NGA,DF,Fulham,25-357,1999,15.1,31,15,23,7,1,17,22,77.3,5,22,13,9,10,41,68,5,Matches
37,Altay Bayındır,tr TUR,GK,Manchester Utd,27-253,1998,6.0,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,6,1,Matches
38,Jean-Ricner Bellegarde,ht HAI,"MF,FW",Wolves,27-179,1998,7.7,18,11,5,8,5,4,4,100.0,0,11,2,9,7,25,12,2,Matches
39,Rodrigo Bentancur,uy URU,MF,Tottenham,28-181,1997,11.7,27,14,10,14,3,13,18,72.2,5,20,6,14,16,43,32,1,Matches
40,Sander Berge,no NOR,MF,Fulham,27-312,1998,16.2,26,18,10,13,3,9,14,64.3,5,18,8,10,10,36,23,0,Matches
41,Lucas Bergvall,se SWE,MF,Tottenham,19-324,2006,7.4,16,9,3,11,2,4,8,50.0,4,5,0,5,2,18,11,1,Matches
42,Beto,gw GNB,FW,Everton,27-326,1998,7.9,8,2,2,2,4,2,2,100.0,0,9,1,8,0,8,21,0,Matches
43,Jaka Bijol,si SVN,DF,Leeds United,26-321,1999,6.9,12,8,6,5,1,6,9,66.7,3,3,1,2,9,21,40,0,Matches
44,Marco Bizot,nl NED,GK,Aston Villa,34-288,1991,4.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,1,Matches
45,Oscar Bobb,no NOR,"MF,FW",Manchester City,22-164,2003,5.2,8,5,3,3,2,4,7,57.1,3,9,0,9,3,11,1,0,Matches
46,Lamare Bogarde,nl NED,MF,Aston Villa,21-352,2004,3.6,7,5,4,2,1,4,7,57.1,3,5,3,2,1,8,6,1,Matches
47,Jayden Bogle,eng ENG,DF,Leeds United,25-149,2000,16.5,34,20,17,15,2,21,37,56.8,16,13,2,11,18,52,38,1,Matches
48,Sebastiaan Bornauw,be BEL,DF,Leeds United,26-276,1999,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
49,Olivier Boscagli,fr FRA,DF,Brighton,28-035,1997,1.6,3,2,1,2,0,3,3,100.0,0,1,1,0,2,5,10,0,Matches
50,Sven Botman,nl NED,DF,Newcastle Utd,25-345,2000,7.3,6,3,3,3,0,2,2,100.0,0,11,8,3,6,12,48,1,Matches
51,Jarrod Bowen,eng ENG,"FW,MF",West Ham,29-003,1996,17.0,16,11,5,8,3,7,19,36.8,12,8,1,7,8,24,13,0,Matches
52,Conor Bradley,nir NIR,DF,Liverpool,22-167,2003,7.1,13,11,7,5,1,4,12,33.3,8,17,4,13,9,22,15,0,Matches
53,Brian Brobbey,nl NED,FW,Sunderland,23-325,2002,4.5,4,1,1,1,2,3,4,75.0,1,4,1,3,0,4,4,0,Matches
54,Armando Broja,al ALB,FW,Burnley,24-104,2001,3.6,3,1,2,1,0,1,2,50.0,1,3,0,3,0,3,4,0,Matches
55,David Brooks,wls WAL,"FW,MF",Bournemouth,28-168,1997,8.0,13,8,4,6,3,5,22,22.7,17,6,0,6,3,16,7,0,Matches
56,Jacob Bruun Larsen,dk DEN,"FW,MF",Burnley,27-095,1998,8.0,10,4,7,3,0,5,8,62.5,3,6,0,6,5,15,10,0,Matches
57,Emi Buendía,ar ARG,"MF,FW",Aston Villa,28-363,1996,6.2,20,13,8,11,1,11,22,50.0,11,14,1,13,3,23,12,0,Matches
58,Hugo Bueno,es ESP,"DF,MF",Wolves,23-096,2002,9.2,28,13,15,10,3,15,32,46.9,17,8,1,7,16,44,25,0,Matches
59,Santiago Bueno,uy URU,DF,Wolves,27-044,1998,8.4,27,13,14,9,4,14,20,70.0,6,10,5,5,15,42,35,0,Matches
60,Facundo Buonanotte,ar ARG,MF,Chelsea,21-000,2004,0.5,1,0,0,0,1,0,0,,0,1,0,1,0,1,0,0,Matches
61,Dan Burn,eng ENG,DF,Newcastle Utd,33-228,1992,13.9,19,13,12,4,3,10,23,43.5,13,12,5,7,15,34,85,1,Matches
62,Bradley Burrowes,eng ENG,DF,Aston Villa,17-294,2008,0.2,0,0,0,0,0,0,1,0.0,1,1,0,1,0,0,0,0,Matches
63,Sam Byram,eng ENG,DF,Leeds United,32-098,1993,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
64,Moisés Caicedo,ec ECU,MF,Chelsea,24-051,2001,11.9,37,23,16,13,8,20,29,69.0,9,13,6,7,32,69,13,1,Matches
65,Tom Cairney,sct SCO,MF,Fulham,34-337,1991,2.6,1,1,0,1,0,1,5,20.0,4,2,1,1,0,1,2,0,Matches
66,Riccardo Calafiori,it ITA,DF,Arsenal,23-218,2002,13.9,28,17,13,8,7,15,22,68.2,7,9,1,8,13,41,47,1,Matches
67,Dominic Calvert-Lewin,eng ENG,FW,Leeds United,28-282,1997,11.4,6,1,1,3,2,0,1,0.0,1,5,0,5,2,8,8,0,Matches
68,Jaydee Canvot,fr FRA,DF,Crystal Palace,19-147,2006,1.3,4,2,3,1,0,1,2,50.0,1,3,2,1,3,7,10,0,Matches
69,Fabio Carvalho,pt POR,"FW,MF",Brentford,23-115,2002,1.1,3,2,0,1,2,1,1,100.0,0,1,0,1,0,3,1,0,Matches
70,Casemiro,br BRA,MF,Manchester Utd,33-303,1992,11.0,31,16,11,17,3,15,31,48.4,16,24,8,16,10,41,24,1,Matches
71,Matty Cash,pl POL,DF,Aston Villa,28-138,1997,16.7,30,17,22,8,0,17,35,48.6,18,19,8,11,13,43,60,2,Matches
72,Timothy Castagne,be BEL,"DF,FW",Fulham,30-018,1995,6.0,15,9,11,3,1,8,11,72.7,3,8,0,8,10,25,22,1,Matches
73,Trevoh Chalobah,eng ENG,DF,Chelsea,26-171,1999,15.3,24,18,10,14,0,16,19,84.2,3,10,5,5,17,41,93,0,Matches
74,Rayan Cherki,fr FRA,"MF,FW",Manchester City,22-128,2003,6.2,8,5,4,3,1,5,14,35.7,9,1,0,1,3,11,3,0,Matches
75,Federico Chiesa,it ITA,"FW,MF",Liverpool,28-059,1997,1.8,8,6,3,4,1,2,5,40.0,3,5,2,3,1,9,4,0,Matches
76,Tawanda Chirewa,zw ZIM,"MF,FW",Wolves,22-073,2003,0.2,2,0,1,1,0,1,2,50.0,1,0,0,0,0,2,0,0,Matches
77,Ryan Christie,sct SCO,MF,Bournemouth,30-304,1995,3.3,8,2,5,3,0,3,6,50.0,3,3,1,2,3,11,6,0,Matches
78,Samuel Chukwueze,ng NGA,FW,Fulham,26-215,1999,4.4,2,1,0,1,1,2,3,66.7,1,3,0,3,2,4,6,0,Matches
79,Nathaniel Clyne,eng ENG,DF,Crystal Palace,34-262,1991,2.5,7,5,2,3,2,5,5,100.0,0,1,0,1,2,9,10,0,Matches
80,Séamus Coleman,ie IRL,"DF,FW",Everton,37-073,1988,0.1,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0,Matches
81,Nathan Collins,ie IRL,DF,Brentford,24-237,2001,16.2,16,7,9,7,0,6,9,66.7,3,26,21,5,21,37,116,2,Matches
82,Lewis Cook,eng ENG,"DF,MF",Bournemouth,28-323,1997,3.4,8,6,3,4,1,4,4,100.0,0,3,0,3,10,18,10,0,Matches
83,Diego Coppola,it ITA,DF,Brighton,21-360,2003,1.2,1,1,1,0,0,0,0,,0,4,2,2,1,2,11,0,Matches
84,Marc Cucurella,es ESP,DF,Chelsea,27-154,1998,16.0,33,24,21,7,5,13,23,56.5,10,26,5,21,16,49,57,1,Matches
85,Jorge Cuenca,es ESP,DF,Fulham,26-036,1999,2.9,2,2,1,1,0,2,4,50.0,2,5,4,1,6,8,17,0,Matches
86,Josh Cullen,ie IRL,MF,Burnley,29-260,1996,16.2,28,17,8,18,2,7,18,38.9,11,22,11,11,21,49,35,2,Matches
87,Jair Cunha,br BRA,DF,Nott'ham Forest,20-291,2005,1.0,2,2,1,1,0,1,1,100.0,0,1,1,0,2,4,6,0,Matches
88,Matheus Cunha,br BRA,"MF,FW",Manchester Utd,26-210,1999,11.4,16,10,4,9,3,7,17,41.2,10,14,1,13,6,22,9,0,Matches
89,Diogo Dalot,pt POR,DF,Manchester Utd,26-280,1999,11.6,21,12,12,5,4,9,15,60.0,6,3,0,3,10,31,43,2,Matches
90,Mikkel Damsgaard,dk DEN,MF,Brentford,25-173,2000,11.5,28,18,9,11,8,10,31,32.3,21,21,3,18,11,39,8,1,Matches
91,Kevin Danso,at AUT,DF,Tottenham,27-095,1998,5.5,8,5,2,6,0,6,6,100.0,0,8,5,3,4,12,54,0,Matches
92,Karl Darlow,wls WAL,GK,Leeds United,35-076,1990,5.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,0,Matches
93,Ben Davies,wls WAL,DF,Tottenham,32-243,1993,0.4,3,2,1,1,1,2,2,100.0,0,0,0,0,1,4,3,0,Matches
94,Maxim De Cuyper,be BEL,"DF,FW",Brighton,25-001,2000,8.5,11,6,4,5,2,7,16,43.8,9,11,1,10,6,17,16,1,Matches
95,Liam Delap,eng ENG,FW,Chelsea,22-318,2003,3.9,0,0,0,0,0,0,2,0.0,2,0,0,0,0,0,4,1,Matches
96,Sepp van den Berg,nl NED,DF,Brentford,24-003,2001,17.0,12,5,8,4,0,6,9,66.7,3,13,9,4,13,25,118,2,Matches
97,Justin Devenny,nir NIR,"MF,FW",Crystal Palace,22-073,2003,2.4,9,7,4,5,0,5,11,45.5,6,3,0,3,0,9,1,0,Matches
98,Kiernan Dewsbury-Hall,eng ENG,MF,Everton,27-108,1998,14.0,26,11,10,12,4,13,19,68.4,6,14,0,14,8,34,21,1,Matches
99,Bafodé Diakité,fr FRA,DF,Bournemouth,24-351,2001,13.5,19,14,13,6,0,11,14,78.6,3,13,5,8,12,31,75,1,Matches
100,Amad Diallo,ci CIV,"DF,MF",Manchester Utd,23-165,2002,13.4,22,14,6,10,6,10,23,43.5,13,8,1,7,7,29,23,0,Matches
101,Habib Diarra,sn SEN,MF,Sunderland,21-354,2004,4.1,3,1,2,1,0,1,3,33.3,2,1,0,1,2,5,7,0,Matches
