Unnamed: 0_level_0_Rk,Unnamed: 1_level_0_Player,Unnamed: 2_level_0_Nation,Unnamed: 3_level_0_Pos,Unnamed: 4_level_0_Squad,Unnamed: 5_level_0_Age,Unnamed: 6_level_0_Born,Unnamed: 7_level_0_90s,Unnamed: 8_level_0_Att,Pass Types_Live,Pass Types_Dead,Pass Types_FK,Pass Types_TB,Pass Types_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Corner Kicks_In,Corner Kicks_Out,Corner Kicks_Str,Outcomes_Cmp,Outcomes_Off,Outcomes_Blocks,Unnamed: 23_level_0_Matches
1,Brenden Aaronson,us USA,"FW,MF",Leeds United,25-062,2000,10.1,269,243,22,3,2,0,18,5,0,0,0,0,211,4,8,Matches
2,Zach Abbott,eng ENG,DF,Nott'ham Forest,19-224,2006,0.5,26,18,8,1,0,0,0,7,0,0,0,0,17,0,0,Matches
3,Joshua Acheampong,eng ENG,DF,Chelsea,19-232,2006,3.9,296,284,12,7,0,0,0,1,0,0,0,0,273,0,2,Matches
4,Tyler Adams,us USA,MF,Bournemouth,26-312,1999,13.3,695,671,24,22,1,2,0,2,0,0,0,0,605,0,10,Matches
5,Tosin Adarabioyo,eng ENG,DF,Chelsea,28-090,1997,6.2,579,551,25,10,3,1,0,3,0,0,0,0,523,3,4,Matches
6,Simon Adingra,ci CIV,"FW,MF",Sunderland,23-356,2002,4.2,106,105,1,0,1,0,20,1,0,0,0,0,70,0,10,Matches
7,Amine Adli,ma MAR,"FW,MF",Bournemouth,25-227,2000,4.4,160,149,9,1,2,1,11,5,2,2,0,0,116,2,6,Matches
8,Emmanuel Agbadou,ci CIV,DF,Wolves,28-189,1997,11.2,633,597,33,21,2,5,14,11,0,0,0,0,510,3,6,Matches
9,Nayef Aguerd,ma MAR,DF,West Ham,29-268,1996,2.0,119,113,6,2,0,3,2,2,0,0,0,0,106,0,1,Matches
10,Ola Aina,ng NGA,DF,Nott'ham Forest,29-076,1996,3.0,157,131,26,5,0,1,13,20,1,0,0,0,125,0,5,Matches
11,Rayan Aït-Nouri,dz ALG,DF,Manchester City,24-200,2001,2.3,127,106,21,2,0,0,2,19,0,0,0,0,111,0,6,Matches
12,Kristoffer Ajer,no NOR,DF,Brentford,27-250,1998,6.8,213,193,19,0,0,1,3,19,0,0,0,0,151,1,3,Matches
13,Nathan Aké,nl NED,DF,Manchester City,30-308,1995,2.5,181,164,17,6,0,2,2,5,0,0,0,0,162,0,0,Matches
14,Carlos Alcaraz,ar ARG,"MF,FW",Everton,23-023,2002,6.6,255,242,10,3,2,3,5,0,3,0,1,0,199,3,7,Matches
15,Omar Alderete,py PAR,DF,Sunderland,28-362,1996,12.4,533,524,7,6,3,8,5,1,0,0,0,0,446,2,4,Matches
16,Alisson,br BRA,GK,Liverpool,33-082,1992,12.0,437,387,50,23,0,1,0,0,0,0,0,0,357,0,0,Matches
17,Ethan Ampadu,wls WAL,MF,Leeds United,25-100,2000,14.7,831,737,93,33,2,2,12,60,0,0,0,0,675,1,7,Matches
18,Joachim Andersen,dk DEN,DF,Fulham,29-206,1996,15.5,1129,1054,71,52,0,26,6,9,0,0,0,0,967,4,4,Matches
19,Elliot Anderson,eng ENG,MF,Nott'ham Forest,23-047,2002,17.0,1246,1129,116,43,5,11,78,6,50,25,19,0,1030,1,17,Matches
20,André,br BRA,MF,Wolves,24-160,2001,13.8,626,589,34,22,0,4,24,1,11,5,6,0,553,3,7,Matches
21,Jaidon Anthony,eng ENG,"MF,FW",Burnley,26-022,1999,12.5,350,303,46,1,3,0,26,9,12,9,1,1,246,1,12,Matches
22,Alphonse Areola,fr FRA,GK,West Ham,32-299,1993,13.0,417,244,172,48,0,0,0,0,0,0,0,0,227,1,0,Matches
23,Jhon Arias,co COL,"FW,MF",Wolves,28-093,1997,9.0,304,272,32,4,0,2,28,2,16,12,2,0,257,0,6,Matches
24,Harrison Armstrong,eng ENG,FW,Everton,18-338,2007,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
25,Tolu Arokodare,ng NGA,FW,Wolves,25-030,2000,3.8,68,68,0,0,0,0,0,0,0,0,0,0,36,0,4,Matches
26,Taiwo Awoniyi,ng NGA,FW,Nott'ham Forest,28-133,1997,1.7,26,26,0,0,0,0,0,0,0,0,0,0,21,0,1,Matches
27,Yasin Ayari,se SWE,MF,Brighton,22-078,2003,13.0,633,596,33,12,0,3,21,2,16,9,1,0,530,4,7,Matches
28,Benoît Badiashile,fr FRA,DF,Chelsea,24-272,2001,1.7,148,137,11,5,0,0,0,0,0,0,0,0,139,0,0,Matches
29,Dilane Bakwa,fr FRA,"FW,MF",Nott'ham Forest,23-119,2002,1.9,96,89,7,2,0,1,13,2,3,3,0,0,72,0,2,Matches
30,Carlos Baleba,cm CMR,MF,Brighton,21-354,2004,10.0,374,369,5,4,2,2,0,1,0,0,0,0,319,0,6,Matches
31,Daniel Ballard,nir NIR,DF,Sunderland,26-092,1999,12.5,543,503,35,5,1,7,0,0,0,0,0,0,442,5,2,Matches
32,Ross Barkley,eng ENG,MF,Aston Villa,32-018,1993,1.3,51,50,1,1,2,1,0,0,0,0,0,0,44,0,0,Matches
33,Ashley Barnes,eng ENG,FW,Burnley,36-054,1989,0.1,5,5,0,0,0,0,0,0,0,0,0,0,1,0,0,Matches
34,Harvey Barnes,eng ENG,FW,Newcastle Utd,28-014,1997,8.2,219,216,2,1,1,0,30,1,0,0,0,0,161,1,11,Matches
35,Thierno Barry,fr FRA,FW,Everton,23-063,2002,9.2,153,153,0,0,2,0,0,0,0,0,0,0,91,0,2,Matches
36,Calvin Bassey,ng NGA,DF,Fulham,25-357,1999,15.1,957,879,76,28,0,7,6,21,0,0,0,0,839,2,12,Matches
37,Altay Bayındır,tr TUR,GK,Manchester Utd,27-253,1998,6.0,192,160,32,16,0,0,0,0,0,0,0,0,122,0,0,Matches
38,Jean-Ricner Bellegarde,ht HAI,"MF,FW",Wolves,27-179,1998,7.7,265,240,22,8,3,2,18,0,5,5,0,0,199,3,8,Matches
39,Rodrigo Bentancur,uy URU,MF,Tottenham,28-181,1997,11.7,549,539,9,5,2,0,6,1,0,0,0,0,464,1,7,Matches
40,Sander Berge,no NOR,MF,Fulham,27-312,1998,16.2,806,792,13,11,2,9,5,2,0,0,0,0,722,1,12,Matches
41,Lucas Bergvall,se SWE,MF,Tottenham,19-324,2006,7.4,255,223,31,0,0,2,13,24,0,0,0,0,191,1,3,Matches
42,Beto,gw GNB,FW,Everton,27-326,1998,7.9,97,97,0,0,0,0,2,0,0,0,0,0,59,0,2,Matches
