Player,Nation,Pos,Squad,Age,Born,90s,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_Sh/90,Standard_SoT/90,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_FK,Standard_PK,Standard_PKatt,Expected_xG,Expected_npxG,Expected_npxG/Sh,Expected_G-xG,Expected_np:G-xG
Brenden Aaronson,USA,"FW,MF",Leeds United,25-062,2000,10.1,1,20,8,40.0,1.98,0.79,0.05,0.13,15.9,0,0,0,2.1,2.1,0.11,-1.1,-1.1
Zach Abbott,ENG,DF,Nott'ham Forest,19-224,2006,0.5,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
Joshua Acheampong,ENG,DF,Chelsea,19-232,2006,3.9,1,3,2,66.7,0.77,0.52,0.33,0.5,8.1,0,0,0,0.6,0.6,0.2,0.4,0.4
Tyler Adams,USA,MF,Bournemouth,26-312,1999,13.3,2,8,6,75.0,0.6,0.45,0.25,0.33,23.5,0,0,0,0.5,0.5,0.06,1.5,1.5
Tosin Adarabioyo,ENG,DF,Chelsea,28-090,1997,6.2,0,2,0,0.0,0.32,0.0,0.0,,5.1,0,0,0,0.1,0.1,0.05,-0.1,-0.1
Simon Adingra,CIV,"FW,MF",Sunderland,23-356,2002,4.2,0,1,0,0.0,0.24,0.0,0.0,,14.0,0,0,0,0.1,0.1,0.14,-0.1,-0.1
Amine Adli,MAR,"FW,MF",Bournemouth,25-227,2000,4.4,1,8,4,50.0,1.83,0.91,0.13,0.25,16.0,1,0,0,1.0,1.0,0.12,0.0,0.0
Emmanuel Agbadou,CIV,DF,Wolves,28-189,1997,11.2,0,9,3,33.3,0.8,0.27,0.0,0.0,19.2,1,0,0,0.5,0.5,0.05,-0.5,-0.5
Nayef Aguerd,MAR,DF,West Ham,29-268,1996,2.0,0,2,0,0.0,1.0,0.0,0.0,,9.9,0,0,0,0.1,0.1,0.05,-0.1,-0.1
Ola Aina,NGA,DF,Nott'ham Forest,29-076,1996,3.0,0,2,0,0.0,0.67,0.0,0.0,,24.6,0,0,0,0.0,0.0,0.02,0.0,0.0
Rayan Aït-Nouri,ALG,DF,Manchester City,24-200,2001,2.3,0,2,0,0.0,0.88,0.0,0.0,,24.9,0,0,0,0.0,0.0,0.02,0.0,0.0
Kristoffer Ajer,NOR,DF,Brentford,27-250,1998,6.8,0,7,2,28.6,1.03,0.29,0.0,0.0,15.6,0,0,0,0.5,0.5,0.07,-0.5,-0.5
Nathan Aké,NED,DF,Manchester City,30-308,1995,2.5,0,3,0,0.0,1.19,0.0,0.0,,10.3,0,0,0,0.3,0.3,0.09,-0.3,-0.3
Carlos Alcaraz,ARG,"MF,FW",Everton,23-023,2002,6.6,0,13,3,23.1,1.97,0.45,0.0,0.0,16.5,0,0,0,0.9,0.9,0.07,-0.9,-0.9
Omar Alderete,PAR,DF,Sunderland,28-362,1996,12.4,1,12,6,50.0,0.97,0.48,0.08,0.17,14.2,0,0,0,1.0,1.0,0.08,0.0,0.0
Alisson,BRA,GK,Liverpool,33-082,1992,12.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
Ethan Ampadu,WAL,MF,Leeds United,25-100,2000,14.7,1,9,1,11.1,0.61,0.07,0.11,1.0,23.7,0,0,0,0.8,0.8,0.09,0.2,0.2
Joachim Andersen,DEN,DF,Fulham,29-206,1996,15.5,0,6,0,0.0,0.39,0.0,0.0,,12.6,0,0,0,0.5,0.5,0.09,-0.5,-0.5
Elliot Anderson,ENG,MF,Nott'ham Forest,23-047,2002,17.0,1,17,4,23.5,1.0,0.24,0.0,0.0,20.8,1,1,1,1.8,1.0,0.06,-0.8,-1.0
André,BRA,MF,Wolves,24-160,2001,13.8,0,5,0,0.0,0.36,0.0,0.0,,29.6,1,0,0,0.2,0.2,0.04,-0.2,-0.2
