Unnamed: 0_level_0_Rk,Unnamed: 1_level_0_Player,Unnamed: 2_level_0_Nation,Unnamed: 3_level_0_Pos,Unnamed: 4_level_0_Squad,Unnamed: 5_level_0_Age,Unnamed: 6_level_0_Born,Playing Time_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Expected_xG,Expected_npxG,Expected_xAG,Expected_npxG+xAG,Progression_PrgC,Progression_PrgP,Progression_PrgR,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK,Per 90 Minutes_xG,Per 90 Minutes_xAG,Per 90 Minutes_xG+xAG,Per 90 Minutes_npxG,Per 90 Minutes_npxG+xAG,Unnamed: 36_level_0_Matches
1,Brenden Aaronson,us USA,"FW,MF",Leeds United,25-062,2000,16,10,911,10.1,1,2,3,1,0,0,1,0,2.1,2.1,1.5,3.6,21,26,55,0.10,0.20,0.30,0.10,0.30,0.21,0.15,0.35,0.21,0.35,Matches
2,Zach Abbott,eng ENG,DF,Nott'ham Forest,19-224,2006,1,0,45,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
3,Joshua Acheampong,eng ENG,DF,Chelsea,19-232,2006,5,4,349,3.9,1,0,1,1,0,0,0,0,0.6,0.6,0.0,0.6,4,11,0,0.26,0.00,0.26,0.26,0.26,0.16,0.00,0.16,0.16,0.16,Matches
4,Tyler Adams,us USA,MF,Bournemouth,26-312,1999,15,15,1195,13.3,2,1,3,2,0,0,5,0,0.5,0.5,0.1,0.5,12,61,7,0.15,0.08,0.23,0.15,0.23,0.03,0.01,0.04,0.03,0.04,Matches
5,Tosin Adarabioyo,eng ENG,DF,Chelsea,28-090,1997,9,5,561,6.2,0,0,0,0,0,0,1,0,0.1,0.1,0.0,0.1,3,18,0,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.02,0.02,0.02,Matches
6,Simon Adingra,ci CIV,"FW,MF",Sunderland,23-356,2002,10,5,382,4.2,0,0,0,0,0,0,1,0,0.1,0.1,0.6,0.7,17,5,41,0.00,0.00,0.00,0.00,0.00,0.03,0.14,0.17,0.03,0.17,Matches
7,Amine Adli,ma MAR,"FW,MF",Bournemouth,25-227,2000,13,3,394,4.4,1,0,1,1,0,0,0,0,1.0,1.0,0.2,1.2,10,13,31,0.23,0.00,0.23,0.23,0.23,0.22,0.05,0.27,0.22,0.27,Matches
8,Emmanuel Agbadou,ci CIV,DF,Wolves,28-189,1997,13,11,1011,11.2,0,0,0,0,0,0,1,1,0.5,0.5,0.2,0.6,5,37,7,0.00,0.00,0.00,0.00,0.00,0.04,0.01,0.06,0.04,0.06,Matches
9,Nayef Aguerd,ma MAR,DF,West Ham,29-268,1996,2,2,180,2.0,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,2,9,0,0.00,0.00,0.00,0.00,0.00,0.05,0.00,0.05,0.05,0.05,Matches
10,Ola Aina,ng NGA,DF,Nott'ham Forest,29-076,1996,3,3,270,3.0,0,0,0,0,0,0,1,0,0.0,0.0,0.1,0.2,5,11,8,0.00,0.00,0.00,0.00,0.00,0.01,0.05,0.06,0.01,0.06,Matches
11,Rayan Aït-Nouri,dz ALG,DF,Manchester City,24-200,2001,5,3,204,2.3,0,0,0,0,0,0,1,0,0.0,0.0,0.2,0.3,7,7,8,0.00,0.00,0.00,0.00,0.00,0.02,0.10,0.12,0.02,0.12,Matches
12,Kristoffer Ajer,no NOR,DF,Brentford,27-250,1998,11,7,613,6.8,0,1,1,0,0,0,1,0,0.5,0.5,0.7,1.2,6,20,9,0.00,0.15,0.15,0.00,0.15,0.07,0.10,0.18,0.07,0.18,Matches
13,Nathan Aké,nl NED,DF,Manchester City,30-308,1995,7,1,227,2.5,0,0,0,0,0,0,0,0,0.3,0.3,0.1,0.4,4,20,2,0.00,0.00,0.00,0.00,0.00,0.11,0.03,0.14,0.11,0.14,Matches
14,Carlos Alcaraz,ar ARG,"MF,FW",Everton,23-023,2002,14,5,595,6.6,0,1,1,0,0,0,3,0,0.9,0.9,0.8,1.7,7,17,22,0.00,0.15,0.15,0.00,0.15,0.13,0.13,0.25,0.13,0.25,Matches
15,Omar Alderete,py PAR,DF,Sunderland,28-362,1996,13,12,1118,12.4,1,1,2,1,0,0,2,0,1.0,1.0,0.1,1.1,12,47,3,0.08,0.08,0.16,0.08,0.16,0.08,0.01,0.09,0.08,0.09,Matches
16,Alisson,br BRA,GK,Liverpool,33-082,1992,12,12,1080,12.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,4,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
17,Ethan Ampadu,wls WAL,MF,Leeds United,25-100,2000,15,15,1319,14.7,1,0,1,1,0,0,4,0,0.8,0.8,0.1,0.9,19,60,15,0.07,0.00,0.07,0.07,0.07,0.05,0.01,0.06,0.05,0.06,Matches
18,Joachim Andersen,dk DEN,DF,Fulham,29-206,1996,16,16,1391,15.5,0,0,0,0,0,0,2,0,0.5,0.5,0.8,1.3,9,66,4,0.00,0.00,0.00,0.00,0.00,0.03,0.05,0.09,0.03,0.09,Matches
19,Elliot Anderson,eng ENG,MF,Nott'ham Forest,23-047,2002,17,17,1530,17.0,1,1,2,0,1,1,3,0,1.8,1.0,2.1,3.1,24,141,47,0.06,0.06,0.12,0.00,0.06,0.10,0.12,0.23,0.06,0.18,Matches
20,André,br BRA,MF,Wolves,24-160,2001,17,14,1245,13.8,0,0,0,0,0,0,4,0,0.2,0.2,0.3,0.5,9,48,6,0.00,0.00,0.00,0.00,0.00,0.01,0.02,0.03,0.01,0.03,Matches
21,Jaidon Anthony,eng ENG,"MF,FW",Burnley,26-022,1999,17,14,1125,12.5,4,1,5,4,0,0,3,0,2.4,2.4,0.6,2.9,25,17,63,0.32,0.08,0.40,0.32,0.40,0.19,0.05,0.23,0.19,0.23,Matches
22,Alphonse Areola,fr FRA,GK,West Ham,32-299,1993,13,13,1170,13.0,0,1,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.08,0.08,0.00,0.08,0.00,0.00,0.00,0.00,0.00,Matches
23,Jhon Arias,co COL,"FW,MF",Wolves,28-093,1997,16,10,812,9.0,0,0,0,0,0,0,1,0,2.7,2.7,0.5,3.1,16,27,37,0.00,0.00,0.00,0.00,0.00,0.30,0.05,0.35,0.30,0.35,Matches
24,Harrison Armstrong,eng ENG,FW,Everton,18-338,2007,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
25,Tolu Arokodare,ng NGA,FW,Wolves,25-030,2000,13,3,343,3.8,1,0,1,1,0,0,1,0,0.6,0.6,0.2,0.8,4,1,18,0.26,0.00,0.26,0.26,0.26,0.16,0.06,0.22,0.16,0.22,Matches
26,Taiwo Awoniyi,ng NGA,FW,Nott'ham Forest,28-133,1997,5,1,154,1.7,0,0,0,0,0,0,0,0,0.2,0.2,0.1,0.3,1,1,7,0.00,0.00,0.00,0.00,0.00,0.11,0.09,0.20,0.11,0.20,Matches
27,Yasin Ayari,se SWE,MF,Brighton,22-078,2003,15,12,1169,13.0,1,0,1,1,0,0,0,0,1.8,1.8,0.4,2.1,11,40,18,0.08,0.00,0.08,0.08,0.08,0.14,0.03,0.16,0.14,0.16,Matches
28,Benoît Badiashile,fr FRA,DF,Chelsea,24-272,2001,4,2,156,1.7,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,1,7,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
29,Dilane Bakwa,fr FRA,"FW,MF",Nott'ham Forest,23-119,2002,4,2,174,1.9,0,0,0,0,0,0,0,0,0.1,0.1,0.4,0.5,6,9,22,0.00,0.00,0.00,0.00,0.00,0.07,0.20,0.27,0.07,0.27,Matches
30,Carlos Baleba,cm CMR,MF,Brighton,21-354,2004,16,14,896,10.0,0,0,0,0,0,0,4,0,0.2,0.2,0.1,0.3,10,24,8,0.00,0.00,0.00,0.00,0.00,0.02,0.01,0.03,0.02,0.03,Matches
31,Daniel Ballard,nir NIR,DF,Sunderland,26-092,1999,15,12,1122,12.5,2,0,2,2,0,0,2,0,1.4,1.4,0.7,2.1,6,29,4,0.16,0.00,0.16,0.16,0.16,0.11,0.06,0.17,0.11,0.17,Matches
32,Ross Barkley,eng ENG,MF,Aston Villa,32-018,1993,7,0,121,1.3,1,0,1,1,0,0,0,0,0.4,0.4,0.5,0.9,5,9,4,0.74,0.00,0.74,0.74,0.74,0.29,0.37,0.65,0.29,0.65,Matches
33,Ashley Barnes,eng ENG,FW,Burnley,36-054,1989,1,0,8,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
34,Harvey Barnes,eng ENG,FW,Newcastle Utd,28-014,1997,16,7,740,8.2,3,0,3,3,0,0,0,0,3.5,3.5,1.2,4.7,31,28,80,0.36,0.00,0.36,0.36,0.36,0.42,0.14,0.57,0.42,0.57,Matches
35,Thierno Barry,fr FRA,FW,Everton,23-063,2002,17,10,824,9.2,1,0,1,1,0,0,2,0,2.7,2.7,0.4,3.1,6,5,44,0.11,0.00,0.11,0.11,0.11,0.30,0.04,0.34,0.30,0.34,Matches
36,Calvin Bassey,ng NGA,DF,Fulham,25-357,1999,16,15,1359,15.1,1,0,1,1,0,0,3,0,0.6,0.6,0.1,0.7,19,51,4,0.07,0.00,0.07,0.07,0.07,0.04,0.01,0.05,0.04,0.05,Matches
37,Altay Bayındır,tr TUR,GK,Manchester Utd,27-253,1998,6,6,540,6.0,0,0,0,0,0,0,0,0,0.0,0.0,0.2,0.2,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.04,0.00,0.04,Matches
38,Jean-Ricner Bellegarde,ht HAI,"MF,FW",Wolves,27-179,1998,14,9,689,7.7,1,0,1,1,0,0,1,0,0.8,0.8,0.4,1.2,26,40,22,0.13,0.00,0.13,0.13,0.13,0.11,0.05,0.16,0.11,0.16,Matches
39,Rodrigo Bentancur,uy URU,MF,Tottenham,28-181,1997,16,13,1055,11.7,1,1,2,1,0,0,4,0,0.4,0.4,0.8,1.2,7,33,16,0.09,0.09,0.17,0.09,0.17,0.04,0.07,0.10,0.04,0.10,Matches
40,Sander Berge,no NOR,MF,Fulham,27-312,1998,17,17,1458,16.2,0,0,0,0,0,0,3,0,0.6,0.6,1.5,2.1,23,87,10,0.00,0.00,0.00,0.00,0.00,0.04,0.09,0.13,0.04,0.13,Matches
41,Lucas Bergvall,se SWE,MF,Tottenham,19-324,2006,13,8,667,7.4,1,2,3,1,0,0,2,0,0.8,0.8,0.3,1.1,13,32,30,0.13,0.27,0.40,0.13,0.40,0.11,0.04,0.15,0.11,0.15,Matches
42,Beto,gw GNB,FW,Everton,27-326,1998,17,7,711,7.9,1,0,1,1,0,0,1,0,4.3,4.3,0.4,4.7,3,2,31,0.13,0.00,0.13,0.13,0.13,0.54,0.05,0.59,0.54,0.59,Matches
43,Jaka Bijol,si SVN,DF,Leeds United,26-321,1999,8,7,622,6.9,1,1,2,1,0,0,0,0,0.2,0.2,0.4,0.6,3,11,0,0.14,0.14,0.29,0.14,0.29,0.03,0.06,0.09,0.03,0.09,Matches
44,Marco Bizot,nl NED,GK,Aston Villa,34-288,1991,4,4,360,4.0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
45,Oscar Bobb,no NOR,"MF,FW",Manchester City,22-164,2003,9,5,468,5.2,0,1,1,0,0,0,1,0,0.4,0.4,0.7,1.1,17,18,55,0.00,0.19,0.19,0.00,0.19,0.08,0.13,0.21,0.08,0.21,Matches
46,Lamare Bogarde,nl NED,MF,Aston Villa,21-352,2004,12,3,325,3.6,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,5,11,2,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.00,0.01,Matches
47,Jayden Bogle,eng ENG,DF,Leeds United,25-149,2000,17,17,1482,16.5,0,1,1,0,0,0,4,0,0.7,0.7,0.7,1.4,30,45,62,0.00,0.06,0.06,0.00,0.06,0.05,0.04,0.09,0.05,0.09,Matches
