Unnamed: 0_level_0_Rk,Unnamed: 1_level_0_Player,Unnamed: 2_level_0_Nation,Unnamed: 3_level_0_Pos,Unnamed: 4_level_0_Squad,Unnamed: 5_level_0_Age,Unnamed: 6_level_0_Born,Unnamed: 7_level_0_90s,Unnamed: 8_level_0_Att,Pass Types_Live,Pass Types_Dead,Pass Types_FK,Pass Types_TB,Pass Types_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Corner Kicks_In,Corner Kicks_Out,Corner Kicks_Str,Outcomes_Cmp,Outcomes_Off,Outcomes_Blocks,Unnamed: 23_level_0_Matches
1,Patrick van Aanholt,nl NED,DF,Sparta R'dam,35-116,1990,7.3,327,273,53,8,1,2,14,45,0,0,0,0,254,1,5,Matches
2,Aske Adelgaard,dk DEN,DF,Go Ahead Eag,22-043,2003,4.5,245,186,57,10,1,1,23,40,7,5,0,0,188,2,4,Matches
3,Shawn Adewoye,be BEL,DF,Fortuna Sittard,25-177,2000,14.1,601,566,31,24,0,1,1,6,0,0,0,0,512,4,8,Matches
4,Olivier Aertssen,nl NED,DF,Zwolle,21-138,2004,12.4,464,340,117,23,1,5,17,94,0,0,0,0,325,7,14,Matches
5,Isaiah Ahmed,cw CUW,MF,Heerenveen,19-360,2005,0.0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
6,Anel Ahmedhodžić,ba BIH,DF,Feyenoord,26-272,1999,15.1,886,859,27,23,3,2,1,2,0,0,0,0,810,0,8,Matches
7,Makan Aiko,fr FRA,FW,Fortuna Sittard,24-350,2001,5.1,119,115,4,0,0,0,24,1,2,2,0,0,75,0,9,Matches
8,Gerald Alders,nl NED,DF,Ajax,20-230,2005,2.0,119,103,16,3,0,0,0,13,0,0,0,0,104,0,5,Matches
9,Mawouna Amevor,tg TOG,DF,Volendam,34-007,1991,13.6,598,578,20,15,0,2,2,1,0,0,0,0,532,0,4,Matches
10,Julian Baas,nl NED,MF,Sparta R'dam,23-251,2002,8.2,368,299,68,28,4,5,40,0,40,18,13,0,274,1,6,Matches
11,Youri Baas,nl NED,DF,Ajax,22-281,2003,14.7,1234,1167,63,30,1,6,2,11,0,0,0,0,1144,4,4,Matches
12,Thibo Baeten,be BEL,"FW,MF",Go Ahead Eag,23-202,2002,3.7,75,69,5,0,2,1,16,5,0,0,0,0,46,1,3,Matches
13,Esmir Bajraktarevic,ba BIH,"FW,MF",PSV Eindhoven,20-288,2005,4.5,196,186,10,3,3,0,21,3,4,2,0,0,156,0,5,Matches
14,Saïd Bakari,km COM,DF,Sparta R'dam,31-092,1994,3.7,210,181,29,3,1,0,7,26,0,0,0,0,177,0,4,Matches
15,Danny Bakker,nl NED,DF,Telstar,30-341,1995,12.3,689,631,57,27,1,3,4,2,0,0,0,0,581,1,3,Matches
16,Max Balard,au AUS,MF,NAC Breda,25-033,2000,15.4,702,677,23,18,2,2,0,2,0,0,0,0,605,2,13,Matches
17,Vasilios Barkas,gr GRE,GK,Utrecht,31-207,1994,15.5,576,437,139,33,0,1,0,0,0,0,0,0,419,0,2,Matches
18,Samuel Bastien,cd COD,"MF,DF",Fortuna Sittard,29-088,1996,0.1,2,2,0,0,0,0,0,0,0,0,0,0,2,0,0,Matches
19,Mimeirhel Benita,nl NED,DF,Heracles Almelo,22-036,2003,5.4,217,165,51,1,0,2,13,50,0,0,0,0,160,1,9,Matches
20,Mitchell van Bergen,nl NED,FW,Sparta R'dam,26-118,1999,12.6,406,395,11,3,2,1,88,8,0,0,0,0,270,0,20,Matches
21,Mitchell van Bergen,nl NED,FW,Twente,26-118,1999,0.7,15,15,0,0,0,0,4,0,0,0,0,0,8,0,1,Matches
22,Thom van Bergen,nl NED,"FW,MF",Groningen,21-351,2004,16.0,369,336,32,0,1,0,4,6,0,0,0,0,279,1,14,Matches
23,Steven Berghuis,nl NED,"MF,FW",Ajax,34-004,1991,5.1,367,331,33,3,2,6,35,7,22,15,0,0,301,3,8,Matches
24,Jerolldino Bergraaf,nl NED,FW,Excelsior,19-171,2006,4.9,83,81,2,0,0,0,1,0,0,0,0,0,55,0,3,Matches
25,Daniel Bielica,pl POL,GK,NAC Breda,26-237,1999,16.0,552,403,148,48,0,2,0,0,0,0,0,0,373,1,0,Matches
26,Adrian Blake,eng ENG,"FW,MF",Utrecht,20-161,2005,9.5,252,251,1,0,1,0,21,1,0,0,0,0,182,0,9,Matches
27,Sil Blokhuis,nl NED,MF,Heracles Almelo,17-280,2008,0.1,2,2,0,0,0,0,0,0,0,0,0,0,2,0,0,Matches
28,Thijmen Blokzijl,nl NED,DF,Groningen,20-301,2005,17.0,1060,1029,28,26,1,2,5,0,0,0,0,0,937,3,3,Matches
29,Myron Boadu,nl NED,FW,PSV Eindhoven,24-343,2001,0.6,11,10,1,0,0,0,0,0,0,0,0,0,9,0,0,Matches
30,Paweł Bochniewicz,pl POL,FW,Heerenveen,29-327,1996,0.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
