Unnamed: 0_level_0_Rk,Unnamed: 1_level_0_Player,Unnamed: 2_level_0_Nation,Unnamed: 3_level_0_Pos,Unnamed: 4_level_0_Squad,Unnamed: 5_level_0_Age,Unnamed: 6_level_0_Born,Unnamed: 7_level_0_90s,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_PrgC,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Receiving_Rec,Receiving_PrgR,Unnamed: 30_level_0_Matches
1,Patrick van Aanholt,nl NED,DF,Sparta R'dam,35-116,1990,7.3,404,39,152,158,97,12,404,11,7,63.6,4,36.4,190,1069,533,10,7,2,5,2,217,26,Matches
2,Aske Adelgaard,dk DEN,DF,Go Ahead Eag,22-043,2003,4.5,289,20,87,110,96,4,289,6,3,50.0,3,50.0,133,789,480,12,8,0,5,0,147,27,Matches
3,Shawn Adewoye,be BEL,DF,Fortuna Sittard,25-177,2000,14.1,766,104,351,386,31,6,766,2,1,50.0,1,50.0,386,1738,784,5,2,0,7,6,431,2,Matches
4,Olivier Aertssen,nl NED,DF,Zwolle,21-138,2004,12.4,640,73,259,275,114,15,640,23,11,47.8,9,39.1,240,1497,688,16,11,3,17,8,274,21,Matches
5,Isaiah Ahmed,cw CUW,MF,Heerenveen,19-360,2005,0.0,3,0,1,2,0,0,3,0,0,,0,,1,2,2,0,0,0,0,0,1,0,Matches
6,Anel Ahmedhodžić,ba BIH,DF,Feyenoord,26-272,1999,15.1,1056,115,368,601,97,15,1056,3,1,33.3,2,66.7,687,4506,2811,35,31,0,7,1,712,9,Matches
7,Makan Aiko,fr FRA,FW,Fortuna Sittard,24-350,2001,5.1,183,0,16,57,114,21,183,11,4,36.4,4,36.4,126,999,615,20,12,6,14,9,126,36,Matches
8,Gerald Alders,nl NED,DF,Ajax,20-230,2005,2.0,144,7,50,75,21,2,144,1,0,0.0,1,100.0,73,267,135,0,2,0,4,4,85,6,Matches
9,Mawouna Amevor,tg TOG,DF,Volendam,34-007,1991,13.6,745,118,416,309,22,9,745,0,0,,0,,429,2144,1163,7,5,0,6,1,496,0,Matches
10,Julian Baas,nl NED,MF,Sparta R'dam,23-251,2002,8.2,470,34,110,249,111,5,470,2,0,0.0,1,50.0,188,946,494,3,6,1,10,3,225,4,Matches
11,Youri Baas,nl NED,DF,Ajax,22-281,2003,14.7,1403,163,598,700,114,13,1403,11,6,54.5,2,18.2,936,5237,3182,30,32,0,14,5,1061,13,Matches
12,Thibo Baeten,be BEL,"FW,MF",Go Ahead Eag,23-202,2002,3.7,140,8,22,41,82,7,140,10,5,50.0,4,40.0,83,747,386,12,10,3,18,9,91,38,Matches
13,Esmir Bajraktarevic,ba BIH,"FW,MF",PSV Eindhoven,20-288,2005,4.5,267,3,23,80,169,25,267,26,10,38.5,15,57.7,197,1248,647,25,15,12,9,2,202,54,Matches
14,Saïd Bakari,km COM,DF,Sparta R'dam,31-092,1994,3.7,268,22,106,123,41,3,268,7,3,42.9,4,57.1,139,698,303,7,5,1,4,1,139,8,Matches
15,Danny Bakker,nl NED,DF,Telstar,30-341,1995,12.3,848,122,379,380,93,15,847,8,4,50.0,3,37.5,439,2357,1292,21,16,2,4,1,516,6,Matches
16,Max Balard,au AUS,MF,NAC Breda,25-033,2000,15.4,842,38,214,495,138,15,842,16,7,43.8,8,50.0,451,2343,1248,17,17,1,9,9,552,26,Matches
17,Vasilios Barkas,gr GRE,GK,Utrecht,31-207,1994,15.5,619,533,616,3,0,0,619,0,0,,0,,352,1920,929,0,0,0,0,0,306,0,Matches
18,Samuel Bastien,cd COD,"MF,DF",Fortuna Sittard,29-088,1996,0.1,7,1,3,3,1,0,7,0,0,,0,,1,0,0,0,0,0,1,0,3,0,Matches
19,Mimeirhel Benita,nl NED,DF,Heracles Almelo,22-036,2003,5.4,308,25,93,133,86,3,308,13,3,23.1,7,53.8,117,604,316,8,5,0,11,2,131,27,Matches
20,Mitchell van Bergen,nl NED,FW,Sparta R'dam,26-118,1999,12.6,532,13,64,161,319,45,532,42,15,35.7,26,61.9,367,3319,1610,63,41,20,22,11,398,143,Matches
21,Mitchell van Bergen,nl NED,FW,Twente,26-118,1999,0.7,27,0,4,12,13,2,27,4,2,50.0,2,50.0,17,152,73,1,2,1,2,0,18,5,Matches
22,Thom van Bergen,nl NED,"FW,MF",Groningen,21-351,2004,16.0,619,5,46,258,327,97,619,54,17,31.5,32,59.3,353,2458,1172,44,32,18,54,35,426,95,Matches
23,Steven Berghuis,nl NED,"MF,FW",Ajax,34-004,1991,5.1,418,4,36,188,197,33,418,7,1,14.3,5,71.4,255,1239,535,15,8,4,5,7,317,35,Matches
24,Jerolldino Bergraaf,nl NED,FW,Excelsior,19-171,2006,4.9,138,5,11,73,55,12,138,5,2,40.0,3,60.0,72,385,191,6,5,4,16,5,101,21,Matches
25,Daniel Bielica,pl POL,GK,NAC Breda,26-237,1999,16.0,599,483,587,12,0,0,599,0,0,,0,,301,1279,730,0,0,0,0,0,273,0,Matches
26,Adrian Blake,eng ENG,"FW,MF",Utrecht,20-161,2005,9.5,355,8,54,132,177,44,355,32,12,37.5,20,62.5,224,1817,949,41,21,21,20,12,260,70,Matches
27,Sil Blokhuis,nl NED,MF,Heracles Almelo,17-280,2008,0.1,3,0,1,0,2,1,3,0,0,,0,,2,10,9,0,0,0,0,0,2,2,Matches
28,Thijmen Blokzijl,nl NED,DF,Groningen,20-301,2005,17.0,1216,91,488,691,49,3,1216,4,2,50.0,2,50.0,704,4169,2282,19,8,1,6,2,803,1,Matches
29,Myron Boadu,nl NED,FW,PSV Eindhoven,24-343,2001,0.6,18,0,1,5,12,5,18,4,2,50.0,2,50.0,9,39,23,1,0,0,1,1,11,1,Matches
30,Paweł Bochniewicz,pl POL,FW,Heerenveen,29-327,1996,0.0,2,0,0,0,2,1,2,0,0,,0,,1,1,1,0,0,0,0,0,1,1,Matches
31,Ruben van Bommel,nl NED,FW,PSV Eindhoven,21-142,2004,4.2,229,8,32,87,115,21,229,17,7,41.2,10,58.8,126,775,388,12,13,10,15,1,151,52,Matches
32,Kasper Boogaard,nl NED,MF,AZ Alkmaar,19-328,2006,0.7,54,1,11,38,6,0,54,1,0,0.0,1,100.0,37,147,55,1,0,0,0,1,44,0,Matches
