Unnamed: 0_level_0_Rk,Unnamed: 1_level_0_Player,Unnamed: 2_level_0_Nation,Unnamed: 3_level_0_Pos,Unnamed: 4_level_0_Squad,Unnamed: 5_level_0_Age,Unnamed: 6_level_0_Born,Unnamed: 7_level_0_90s,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Unnamed: 20_level_0_Int,Unnamed: 21_level_0_Tkl+Int,Unnamed: 22_level_0_Clr,Unnamed: 23_level_0_Err,Unnamed: 24_level_0_Matches
1,Jones El-Abdellaoui,ma MAR,"FW,MF",Celta Vigo,19-345,2006,2.2,1,0,0,1,0,1,4,25.0,3,0,0,0,1,2,5,0,Matches
2,Abdel Abqar,ma MAR,DF,Getafe,26-288,1999,7.7,23,13,16,7,0,14,17,82.4,3,11,4,7,10,33,38,0,Matches
3,David Affengruber,at AUT,DF,Elche,24-279,2001,15.3,31,21,22,9,0,22,30,73.3,8,13,10,3,23,54,91,3,Matches
4,Julen Agirrezabala,es ESP,GK,Valencia,24-362,2000,17.0,1,0,1,0,0,1,2,50.0,1,0,0,0,0,1,15,0,Matches
5,Lucien Agoume,fr FRA,MF,Sevilla,23-317,2002,11.6,23,13,7,13,3,10,14,71.4,4,12,2,10,13,36,16,1,Matches
6,Marc Aguado,es ESP,MF,Elche,25-304,2000,12.0,19,10,11,6,2,11,14,78.6,3,18,12,6,23,42,24,0,Matches
7,Pablo Agudín,es ESP,"MF,FW",Oviedo,18-045,2007,0.8,0,0,0,0,0,0,1,0.0,1,1,0,1,0,0,2,0,Matches
8,Lucas Ahijado,es ESP,DF,Oviedo,30-327,1995,5.6,23,17,19,4,0,9,13,69.2,4,3,1,2,6,29,12,0,Matches
9,Joseph Aidoo,gh GHA,DF,Celta Vigo,30-085,1995,1.2,1,0,1,0,0,1,1,100.0,0,1,0,1,2,3,16,1,Matches
10,Ilias Akhomach,ma MAR,"MF,FW",Villarreal,21-251,2004,2.1,8,4,4,4,0,3,3,100.0,0,6,2,4,0,8,2,0,Matches
