Player,Nation,Pos,Squad,Age,Born,90s,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Int,Tkl+Int,Clr,Err
Himad Abdelli,ALG,MF,Angers,26-036,1999,10.5,21,16,8,9,4,15,20,75.0,5,15,3,12,14,35,12,1
Ali Abdi,TUN,"DF,MF",Nice,32-003,1993,5.2,10,3,5,4,1,1,3,33.3,2,1,0,1,3,13,12,1
Salis Abdul Samed,GHA,MF,Nice,25-272,2000,5.6,7,2,5,1,1,5,9,55.6,4,3,0,3,7,14,3,0
Saud Abdulhamid,KSA,DF,Lens,26-158,1999,2.4,10,6,7,2,1,7,11,63.6,4,4,1,3,2,12,4,0
Laurent Abergel,FRA,MF,Lorient,32-325,1993,14.5,23,14,11,6,6,11,24,45.8,13,5,0,5,13,36,28,1
Matthis Abline,FRA,"FW,MF",Nantes,22-270,2003,13.9,12,7,5,4,3,5,9,55.6,4,3,0,3,2,14,7,0
Abner,BRA,DF,Lyon,25-210,2000,9.0,12,8,7,5,0,6,11,54.5,5,7,1,6,4,16,20,0
Francis Abu,GHA,MF,Toulouse,24-240,2001,5.8,19,14,7,10,2,8,12,66.7,4,8,3,5,8,27,10,2
Giorgi Abuashvili,GEO,"FW,MF",Metz,22-318,2003,3.2,9,5,6,3,0,4,8,50.0,4,5,1,4,1,10,4,0
Nathaniel Adjei,GHA,DF,Lorient,23-124,2002,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Nayef Aguerd,MAR,DF,Marseille,29-268,1996,10.7,14,11,6,7,1,8,8,100.0,0,12,8,4,13,27,44,1
Ruben Aguilar,FRA,DF,Lens,32-241,1993,13.8,28,17,12,9,7,16,23,69.6,7,27,8,19,22,50,21,0
Abdelhamid Ait Boudlal,MAR,DF,Rennes,19-251,2006,7.2,13,6,9,3,1,9,14,64.3,5,8,5,3,5,18,33,1
Tosin Aiyegun,BEN,"MF,FW",Lorient,27-180,1998,7.9,4,4,2,2,0,3,5,60.0,2,3,0,3,2,6,5,0
