Player,Nation,Pos,Squad,Age,Born,90s,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Ast,xAG,Expected_xA,Expected_A-xAG,KP,1/3,PPA,CrsPA,PrgP
Himad Abdelli,ALG,MF,Angers,26-036,1999,10.5,544,628,86.6,9153,2632,264,289,91.3,226,243,93.0,42,66,63.6,0,0.4,0.7,-0.4,8,57,12,0,79
Ali Abdi,TUN,"DF,MF",Nice,32-003,1993,5.2,140,182,76.9,2171,769,76,84,90.5,50,63,79.4,9,19,47.4,0,0.5,0.3,-0.5,6,13,4,2,7
Salis Abdul Samed,GHA,MF,Nice,25-272,2000,5.6,250,269,92.9,3664,770,146,155,94.2,87,93,93.5,9,11,81.8,0,0.0,0.1,0.0,1,16,1,0,8
Saud Abdulhamid,KSA,DF,Lens,26-158,1999,2.4,116,145,80.0,1722,575,65,70,92.9,45,56,80.4,3,14,21.4,1,0.5,0.8,0.5,2,4,3,0,14
Laurent Abergel,FRA,MF,Lorient,32-325,1993,14.5,777,889,87.4,14748,4530,290,317,91.5,370,403,91.8,96,128,75.0,0,1.0,0.7,-1.0,11,88,9,2,78
Matthis Abline,FRA,"FW,MF",Nantes,22-270,2003,13.9,139,207,67.1,2085,693,69,100,69.0,53,68,77.9,9,16,56.3,2,1.4,1.6,0.6,15,16,14,2,29
Abner,BRA,DF,Lyon,25-210,2000,9.0,344,423,81.3,5687,2198,182,203,89.7,124,152,81.6,31,49,63.3,0,0.4,0.5,-0.4,5,38,10,3,49
Francis Abu,GHA,MF,Toulouse,24-240,2001,5.8,197,238,82.8,2960,801,101,118,85.6,84,97,86.6,4,11,36.4,0,0.0,0.2,0.0,1,15,2,0,20
Giorgi Abuashvili,GEO,"FW,MF",Metz,22-318,2003,3.2,101,128,78.9,1734,382,54,59,91.5,38,45,84.4,8,18,44.4,0,0.2,0.4,-0.2,3,8,2,1,9
Nathaniel Adjei,GHA,DF,Lorient,23-124,2002,0.1,5,5,100.0,53,25,5,5,100.0,0,0,,0,0,,0,0.0,0.0,0.0,0,0,0,0,0
Nayef Aguerd,MAR,DF,Marseille,29-268,1996,10.7,925,985,93.9,15484,5703,425,432,98.4,432,449,96.2,49,78,62.8,0,0.1,0.2,-0.1,2,71,0,0,50
Ruben Aguilar,FRA,DF,Lens,32-241,1993,13.8,627,794,79.0,8690,3430,408,446,91.5,176,233,75.5,26,62,41.9,1,1.4,1.5,-0.4,16,51,21,9,58
