Player,Nation,Pos,Squad,Age,Born,90s,Att,Pass Types_Live,Pass Types_Dead,Pass Types_FK,Pass Types_TB,Pass Types_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Corner Kicks_In,Corner Kicks_Out,Corner Kicks_Str,Outcomes_Cmp,Outcomes_Off,Outcomes_Blocks
Himad Abdelli,ALG,MF,Angers,26-036,1999,10.5,628,595,32,17,4,1,9,5,5,4,1,0,544,1,9
Ali Abdi,TUN,"DF,MF",Nice,32-003,1993,5.2,182,145,37,5,0,1,12,32,0,0,0,0,140,0,7
Salis Abdul Samed,GHA,MF,Nice,25-272,2000,5.6,269,264,5,5,1,1,1,0,0,0,0,0,250,0,3
Saud Abdulhamid,KSA,DF,Lens,26-158,1999,2.4,145,124,21,0,0,0,10,21,0,0,0,0,116,0,3
Laurent Abergel,FRA,MF,Lorient,32-325,1993,14.5,889,830,56,41,1,9,3,0,0,0,0,0,777,3,9
Matthis Abline,FRA,"FW,MF",Nantes,22-270,2003,13.9,207,203,4,2,0,1,17,0,0,0,0,0,139,0,11
Abner,BRA,DF,Lyon,25-210,2000,9.0,423,353,68,9,1,4,26,52,7,4,1,0,344,2,9
Francis Abu,GHA,MF,Toulouse,24-240,2001,5.8,238,234,4,4,0,1,0,0,0,0,0,0,197,0,3
Giorgi Abuashvili,GEO,"FW,MF",Metz,22-318,2003,3.2,128,114,14,1,2,2,16,5,8,4,3,0,101,0,3
Nathaniel Adjei,GHA,DF,Lorient,23-124,2002,0.1,5,5,0,0,0,0,0,0,0,0,0,0,5,0,0
Nayef Aguerd,MAR,DF,Marseille,29-268,1996,10.7,985,948,36,18,0,4,1,1,0,0,0,0,925,1,3
Ruben Aguilar,FRA,DF,Lens,32-241,1993,13.8,794,668,118,3,0,0,69,115,0,0,0,0,627,8,21
Abdelhamid Ait Boudlal,MAR,DF,Rennes,19-251,2006,7.2,353,333,20,16,0,7,2,1,0,0,0,0,300,0,4
Tosin Aiyegun,BEN,"MF,FW",Lorient,27-180,1998,7.9,136,129,6,0,1,0,4,4,0,0,0,0,101,1,6
Ludovic Ajorque,FRA,FW,Brest,31-301,1994,14.6,367,361,6,1,1,7,4,0,0,0,0,0,258,0,5
Maghnes Akliouche,FRA,"FW,MF",Monaco,23-301,2002,13.4,583,558,23,4,8,4,21,11,6,1,4,0,480,2,11
Clément Akpa,CIV,DF,Auxerre,24-029,2001,13.7,743,674,66,40,0,9,24,3,11,1,9,0,600,3,6
Mohamed Ali Cho,FRA,FW,Nice,21-338,2004,6.9,184,177,6,0,2,1,18,1,0,0,0,0,141,1,6
Jim Allevinah,GAB,"FW,DF",Angers,30-299,1995,1.0,20,19,0,0,0,0,1,0,0,0,0,0,16,1,0
Kelvin Amian,FRA,DF,Nantes,27-318,1998,16.0,734,581,151,24,0,2,19,126,0,0,0,0,577,2,11
Mohamed Amine Sbai,FRA,FW,Angers,25-048,2000,7.1,255,229,23,3,4,2,31,2,18,8,5,1,162,3,9
Michael Amir Murillo,PAN,DF,Marseille,29-315,1996,9.4,489,422,67,5,3,1,23,62,0,0,0,0,403,0,11
Samuel Amo-Ameyaw,ENG,"DF,MF",Strasbourg,19-158,2006,5.2,227,211,16,2,2,0,25,11,3,2,0,0,187,0,1
Mathis Amougou,FRA,MF,Strasbourg,19-339,2006,2.9,140,134,6,4,1,0,0,2,0,0,0,0,130,0,1
Benjamin André,FRA,MF,Lille,35-142,1990,12.9,677,649,27,27,4,6,7,0,0,0,0,0,560,1,20
Youssef El-Arabi,MAR,FW,Nantes,38-323,1987,6.0,143,126,17,1,1,1,1,0,0,0,0,0,87,0,5
Carlens Arcus,HAI,DF,Angers,29-178,1996,14.2,784,657,122,24,0,2,13,98,0,0,0,0,680,5,7
Hákon Arnar Haraldsson,ISL,"MF,FW",Lille,22-257,2003,12.4,578,517,60,11,5,3,47,2,30,15,13,0,462,1,12
