Unnamed: 0_level_0_Rk,Unnamed: 1_level_0_Player,Unnamed: 2_level_0_Nation,Unnamed: 3_level_0_Pos,Unnamed: 4_level_0_Squad,Unnamed: 5_level_0_Age,Unnamed: 6_level_0_Born,Unnamed: 7_level_0_90s,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_PrgC,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Receiving_Rec,Receiving_PrgR,Unnamed: 30_level_0_Matches
1,Himad Abdelli,dz ALG,MF,Angers,26-036,1999,10.5,751,23,195,445,125,9,749,32,15,46.9,17,53.1,426,2425,1523,39,26,1,13,11,526,12,Matches
2,Ali Abdi,tn TUN,"DF,MF",Nice,32-003,1993,5.2,234,16,69,100,66,6,234,11,4,36.4,6,54.5,114,636,352,12,6,2,12,0,136,18,Matches
3,Salis Abdul Samed,gh GHA,MF,Nice,25-272,2000,5.6,304,8,68,206,31,3,304,3,1,33.3,2,66.7,189,968,393,5,4,2,8,5,228,5,Matches
4,Saud Abdulhamid,sa KSA,DF,Lens,26-158,1999,2.4,173,6,37,65,72,8,173,6,1,16.7,4,66.7,63,262,129,3,0,2,4,1,104,24,Matches
5,Laurent Abergel,fr FRA,MF,Lorient,32-325,1993,14.5,993,65,301,562,136,8,993,14,6,42.9,8,57.1,626,2682,1513,17,14,2,8,8,734,13,Matches
6,Matthis Abline,fr FRA,"FW,MF",Nantes,22-270,2003,13.9,382,5,47,138,215,70,381,65,31,47.7,32,49.2,245,2193,1364,51,28,25,32,19,268,79,Matches
7,Abner,br BRA,DF,Lyon,25-210,2000,9.0,490,19,128,216,148,20,490,7,3,42.9,4,57.1,258,1246,841,18,9,3,6,7,330,41,Matches
8,Francis Abu,gh GHA,MF,Toulouse,24-240,2001,5.8,297,12,81,180,39,6,297,4,3,75.0,1,25.0,145,439,157,1,2,0,2,4,169,10,Matches
9,Giorgi Abuashvili,ge GEO,"FW,MF",Metz,22-318,2003,3.2,177,6,36,80,62,6,177,11,3,27.3,8,72.7,100,566,328,11,5,3,6,10,112,20,Matches
10,Nathaniel Adjei,gh GHA,DF,Lorient,23-124,2002,0.1,5,0,1,4,0,0,5,0,0,,0,,3,5,1,0,0,0,0,0,4,0,Matches
11,Nayef Aguerd,ma MAR,DF,Marseille,29-268,1996,10.7,1094,88,405,660,33,6,1094,1,0,0.0,1,100.0,793,3552,1891,9,9,0,6,3,833,2,Matches
12,Ruben Aguilar,fr FRA,DF,Lens,32-241,1993,13.8,937,39,212,395,338,35,937,11,4,36.4,5,45.5,424,1922,1117,33,22,6,17,4,582,104,Matches
13,Abdelhamid Ait Boudlal,ma MAR,DF,Rennes,19-251,2006,7.2,446,53,245,173,31,6,446,6,2,33.3,4,66.7,243,1293,767,8,8,2,14,2,297,7,Matches
14,Tosin Aiyegun,bj BEN,"MF,FW",Lorient,27-180,1998,7.9,200,7,24,89,89,28,199,22,8,36.4,12,54.5,136,824,382,12,9,3,5,9,154,33,Matches
15,Ludovic Ajorque,fr FRA,FW,Brest,31-301,1994,14.6,490,17,42,245,213,66,490,11,8,72.7,3,27.3,257,910,346,11,6,4,38,11,366,65,Matches
16,Maghnes Akliouche,fr FRA,"FW,MF",Monaco,23-301,2002,13.4,742,10,71,350,334,53,742,30,10,33.3,17,56.7,433,2672,1385,44,34,16,40,22,523,93,Matches
17,Clément Akpa,ci CIV,DF,Auxerre,24-029,2001,13.7,866,85,438,383,54,3,866,10,6,60.0,1,10.0,546,2548,1379,8,7,0,9,1,587,4,Matches
18,Mohamed Ali Cho,fr FRA,FW,Nice,21-338,2004,6.9,260,1,26,115,126,29,260,20,6,30.0,13,65.0,181,1427,736,29,19,9,25,13,205,54,Matches
19,Jim Allevinah,ga GAB,"FW,DF",Angers,30-299,1995,1.0,35,2,11,17,9,2,35,6,1,16.7,5,83.3,22,111,33,1,0,1,2,1,21,1,Matches
20,Kelvin Amian,fr FRA,DF,Nantes,27-318,1998,16.0,885,70,361,391,138,9,885,4,2,50.0,1,25.0,425,1796,858,18,10,1,10,11,476,30,Matches
21,Mohamed Amine Sbai,fr FRA,FW,Angers,25-048,2000,7.1,354,3,45,162,157,28,354,40,17,42.5,22,55.0,221,1890,1017,36,25,15,24,17,242,50,Matches
22,Michael Amir Murillo,pa PAN,DF,Marseille,29-315,1996,9.4,574,19,103,273,200,25,574,17,7,41.2,9,52.9,357,1383,729,19,14,6,13,7,383,69,Matches
23,Samuel Amo-Ameyaw,eng ENG,"DF,MF",Strasbourg,19-158,2006,5.2,284,2,34,118,136,16,284,20,11,55.0,7,35.0,207,1349,769,32,23,7,11,9,212,52,Matches
24,Mathis Amougou,fr FRA,MF,Strasbourg,19-339,2006,2.9,169,3,40,94,36,3,169,6,2,33.3,4,66.7,116,518,295,7,6,2,3,1,124,11,Matches
25,Benjamin André,fr FRA,MF,Lille,35-142,1990,12.9,827,29,159,460,214,35,827,13,5,38.5,6,46.2,468,2030,971,16,23,3,16,14,578,45,Matches
26,Youssef El-Arabi,ma MAR,FW,Nantes,38-323,1987,6.0,216,10,32,129,58,18,215,15,4,26.7,11,73.3,125,520,210,7,2,1,25,4,134,21,Matches
27,Carlens Arcus,ht HAI,DF,Angers,29-178,1996,14.2,903,45,391,392,128,6,903,4,1,25.0,3,75.0,436,1926,1043,18,16,2,6,4,548,23,Matches
28,Hákon Arnar Haraldsson,is ISL,"MF,FW",Lille,22-257,2003,12.4,697,10,80,300,321,59,697,29,10,34.5,18,62.1,430,2433,1272,39,27,13,22,9,481,74,Matches
29,Joel Asoro,se SWE,FW,Metz,26-240,1999,2.3,51,1,4,23,24,6,51,4,1,25.0,3,75.0,24,123,23,0,1,1,4,1,35,5,Matches
30,Dehmaine Assoumani,fr FRA,MF,Nantes,20-250,2005,7.1,328,15,76,150,108,8,328,20,10,50.0,9,45.0,171,877,398,11,7,1,12,8,189,26,Matches
31,Otavio Ataide,br BRA,DF,Paris FC,23-246,2002,12.4,1049,183,613,411,33,6,1049,5,5,100.0,0,0.0,608,3257,1920,11,5,0,8,6,777,3,Matches
32,Pierre-Emerick Aubameyang,ga GAB,FW,Marseille,36-188,1989,10.5,317,7,25,135,161,44,317,9,4,44.4,5,55.6,200,944,492,16,13,9,22,6,240,60,Matches
33,Arthur Avom,cm CMR,MF,Lorient,21-008,2004,14.1,881,32,220,464,215,26,881,29,16,55.2,9,31.0,553,2930,1421,30,16,4,26,15,581,32,Matches
34,Chidozie Awaziem,ng NGA,DF,Nantes,28-356,1997,15.8,1182,263,740,432,19,10,1182,7,4,57.1,3,42.9,653,3174,1834,6,4,0,7,2,711,0,Matches
35,Oussama El Azzouzi,ma MAR,"MF,DF",Auxerre,24-208,2001,6.1,316,18,93,163,61,9,316,9,3,33.3,6,66.7,178,881,468,6,6,0,4,5,211,6,Matches
36,Samson Baidoo,at AUT,DF,Lens,21-267,2004,14.5,867,138,471,368,33,17,867,6,6,100.0,0,0.0,419,1801,847,2,1,0,5,1,539,1,Matches
