Player,Nation,Pos,Squad,Age,Born,90s,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_Sh/90,Standard_SoT/90,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_FK,Standard_PK,Standard_PKatt,Expected_xG,Expected_npxG,Expected_npxG/Sh,Expected_G-xG,Expected_np:G-xG
Himad Abdelli,ALG,MF,Angers,26-036,1999,10.5,2,9,3,33.3,0.86,0.29,0.0,0.0,26.0,0,2,2,2.0,0.4,0.05,0.0,-0.4
Ali Abdi,TUN,"DF,MF",Nice,32-003,1993,5.2,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
Salis Abdul Samed,GHA,MF,Nice,25-272,2000,5.6,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
Saud Abdulhamid,KSA,DF,Lens,26-158,1999,2.4,0,1,0,0.0,0.41,0.0,0.0,,11.7,0,0,0,0.0,0.0,0.05,0.0,0.0
Laurent Abergel,FRA,MF,Lorient,32-325,1993,14.5,1,14,4,28.6,0.97,0.28,0.07,0.25,24.5,0,0,0,0.6,0.6,0.04,0.4,0.4
Matthis Abline,FRA,"FW,MF",Nantes,22-270,2003,13.9,2,43,11,25.6,3.1,0.79,0.05,0.18,19.4,3,0,1,3.5,2.8,0.06,-1.5,-0.8
Abner,BRA,DF,Lyon,25-210,2000,9.0,1,8,2,25.0,0.89,0.22,0.13,0.5,12.2,0,0,0,0.9,0.9,0.11,0.1,0.1
Francis Abu,GHA,MF,Toulouse,24-240,2001,5.8,0,6,0,0.0,1.03,0.0,0.0,,26.6,0,0,0,0.1,0.1,0.02,-0.1,-0.1
Giorgi Abuashvili,GEO,"FW,MF",Metz,22-318,2003,3.2,1,9,4,44.4,2.81,1.25,0.11,0.25,24.6,0,0,0,0.3,0.3,0.03,0.7,0.7
Nathaniel Adjei,GHA,DF,Lorient,23-124,2002,0.1,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
Nayef Aguerd,MAR,DF,Marseille,29-268,1996,10.7,1,5,1,20.0,0.47,0.09,0.2,1.0,13.5,0,0,0,0.4,0.4,0.08,0.6,0.6
Ruben Aguilar,FRA,DF,Lens,32-241,1993,13.8,0,10,1,10.0,0.72,0.07,0.0,0.0,21.6,0,0,0,0.4,0.4,0.04,-0.4,-0.4
Abdelhamid Ait Boudlal,MAR,DF,Rennes,19-251,2006,7.2,2,3,2,66.7,0.42,0.28,0.67,1.0,12.4,0,0,0,1.2,1.2,0.4,0.8,0.8
Tosin Aiyegun,BEN,"MF,FW",Lorient,27-180,1998,7.9,3,18,8,44.4,2.28,1.02,0.17,0.38,14.2,0,0,1,4.2,3.0,0.16,-1.2,0.0
Ludovic Ajorque,FRA,FW,Brest,31-301,1994,14.6,1,27,6,22.2,1.85,0.41,0.04,0.17,13.2,0,0,0,3.9,3.9,0.14,-2.9,-2.9
Maghnes Akliouche,FRA,"FW,MF",Monaco,23-301,2002,13.4,3,24,8,33.3,1.79,0.6,0.13,0.38,18.1,0,0,0,3.6,3.6,0.15,-0.6,-0.6
Clément Akpa,CIV,DF,Auxerre,24-029,2001,13.7,0,5,0,0.0,0.37,0.0,0.0,,21.8,1,0,0,0.1,0.1,0.03,-0.1,-0.1
Mohamed Ali Cho,FRA,FW,Nice,21-338,2004,6.9,2,11,4,36.4,1.6,0.58,0.18,0.5,16.1,0,0,0,1.1,1.1,0.1,0.9,0.9
Jim Allevinah,GAB,"FW,DF",Angers,30-299,1995,1.0,0,2,0,0.0,2.05,0.0,0.0,,19.1,0,0,0,0.3,0.3,0.13,-0.3,-0.3
Kelvin Amian,FRA,DF,Nantes,27-318,1998,16.0,0,6,0,0.0,0.37,0.0,0.0,,21.7,0,0,0,0.2,0.2,0.04,-0.2,-0.2
Mohamed Amine Sbai,FRA,FW,Angers,25-048,2000,7.1,0,13,6,46.2,1.84,0.85,0.0,0.0,19.5,0,0,0,0.9,0.9,0.07,-0.9,-0.9
Michael Amir Murillo,PAN,DF,Marseille,29-315,1996,9.4,2,8,2,25.0,0.85,0.21,0.25,1.0,15.8,1,0,0,0.9,0.9,0.11,1.1,1.1
Samuel Amo-Ameyaw,ENG,"DF,MF",Strasbourg,19-158,2006,5.2,1,5,1,20.0,0.97,0.19,0.2,1.0,15.3,0,0,0,0.3,0.3,0.06,0.7,0.7
Mathis Amougou,FRA,MF,Strasbourg,19-339,2006,2.9,0,2,1,50.0,0.69,0.34,0.0,0.0,15.0,0,0,0,0.2,0.2,0.09,-0.2,-0.2
Benjamin André,FRA,MF,Lille,35-142,1990,12.9,2,13,3,23.1,1.01,0.23,0.15,0.67,11.8,0,0,0,1.5,1.5,0.11,0.5,0.5
Youssef El-Arabi,MAR,FW,Nantes,38-323,1987,6.0,3,6,4,66.7,0.99,0.66,0.5,0.75,13.6,0,0,1,1.5,0.5,0.09,1.5,2.5
Carlens Arcus,HAI,DF,Angers,29-178,1996,14.2,0,5,1,20.0,0.35,0.07,0.0,0.0,27.3,0,0,0,0.1,0.1,0.02,-0.1,-0.1
Hákon Arnar Haraldsson,ISL,"MF,FW",Lille,22-257,2003,12.4,5,26,7,26.9,2.1,0.57,0.19,0.71,18.2,1,0,0,4.1,4.1,0.16,0.9,0.9
Joel Asoro,SWE,FW,Metz,26-240,1999,2.3,0,4,1,25.0,1.76,0.44,0.0,0.0,13.4,0,0,0,0.6,0.6,0.16,-0.6,-0.6
Dehmaine Assoumani,FRA,MF,Nantes,20-250,2005,7.1,0,11,1,9.1,1.54,0.14,0.0,0.0,28.9,2,0,0,0.4,0.4,0.04,-0.4,-0.4
Otavio Ataide,BRA,DF,Paris FC,23-246,2002,12.4,0,7,0,0.0,0.56,0.0,0.0,,23.3,0,0,0,0.2,0.2,0.03,-0.2,-0.2
Pierre-Emerick Aubameyang,GAB,FW,Marseille,36-188,1989,10.5,5,25,12,48.0,2.38,1.14,0.2,0.42,13.1,0,0,0,6.2,6.2,0.25,-1.2,-1.2
Arthur Avom,CMR,MF,Lorient,21-008,2004,14.1,0,14,1,7.1,0.99,0.07,0.0,0.0,23.4,1,0,0,0.7,0.7,0.05,-0.7,-0.7
Chidozie Awaziem,NGA,DF,Nantes,28-356,1997,15.8,1,6,3,50.0,0.38,0.19,0.17,0.33,16.8,1,0,0,0.5,0.5,0.09,0.5,0.5
Oussama El Azzouzi,MAR,"MF,DF",Auxerre,24-208,2001,6.1,1,4,1,25.0,0.66,0.16,0.25,1.0,20.9,0,0,0,0.5,0.5,0.11,0.5,0.5
Samson Baidoo,AUT,DF,Lens,21-267,2004,14.5,2,15,4,26.7,1.03,0.28,0.13,0.5,12.0,0,0,0,1.4,1.4,0.09,0.6,0.6
Theo Bair,CAN,"MF,FW",Auxerre,26-118,1999,0.1,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
Darryl Bakola,FRA,MF,Marseille,18-023,2007,0.6,0,3,1,33.3,4.66,1.55,0.0,0.0,25.4,0,0,0,0.1,0.1,0.03,-0.1,-0.1
Dilane Bakwa,FRA,"DF,MF",Strasbourg,23-119,2002,1.2,1,2,1,50.0,1.68,0.84,0.5,1.0,15.4,0,0,0,0.1,0.1,0.07,0.9,0.9
Leonardo Balerdi,ARG,DF,Marseille,26-331,1999,9.1,0,8,2,25.0,0.88,0.22,0.0,0.0,14.2,0,0,0,0.9,0.9,0.12,-0.9,-0.9
Fodé Ballo-Touré,SEN,DF,Metz,28-354,1997,4.6,0,3,1,33.3,0.66,0.22,0.0,0.0,17.4,0,0,0,0.2,0.2,0.05,-0.2,-0.2
Folarin Balogun,USA,FW,Monaco,24-173,2001,8.4,4,25,8,32.0,2.98,0.95,0.12,0.38,14.0,0,1,1,5.0,4.3,0.17,-1.0,-1.3
Abdoulaye Bamba,CIV,DF,Angers,35-242,1990,0.1,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
Aladji Bamba,FRA,MF,Monaco,19-162,2006,1.5,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
Mohamed Bamba,CIV,FW,Lorient,24-013,2001,6.9,1,9,5,55.6,1.31,0.73,0.11,0.2,17.9,0,0,1,2.2,1.4,0.16,-1.2,-0.4
Valentín Barco,ARG,"MF,DF",Strasbourg,21-153,2004,12.8,1,16,4,25.0,1.25,0.31,0.06,0.25,19.6,3,0,0,1.4,1.4,0.09,-0.4,-0.4
Bradley Barcola,FRA,FW,Paris S-G,23-112,2002,8.7,5,34,17,50.0,3.9,1.95,0.15,0.29,16.3,0,0,0,3.9,3.9,0.12,1.1,1.1
