Unnamed: 0_level_0_Rk,Unnamed: 1_level_0_Player,Unnamed: 2_level_0_Nation,Unnamed: 3_level_0_Pos,Unnamed: 4_level_0_Squad,Unnamed: 5_level_0_Age,Unnamed: 6_level_0_Born,Playing Time_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Expected_xG,Expected_npxG,Expected_xAG,Expected_npxG+xAG,Progression_PrgC,Progression_PrgP,Progression_PrgR,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK,Per 90 Minutes_xG,Per 90 Minutes_xAG,Per 90 Minutes_xG+xAG,Per 90 Minutes_npxG,Per 90 Minutes_npxG+xAG,Unnamed: 36_level_0_Matches
1,Himad Abdelli,dz ALG,MF,Angers,26-036,1999,13,11,943,10.5,2,0,2,0,2,2,1,0,2.0,0.4,0.4,0.9,39,79,12,0.19,0.00,0.19,0.00,0.00,0.19,0.04,0.23,0.04,0.08,Matches
2,Ali Abdi,tn TUN,"DF,MF",Nice,32-003,1993,9,6,464,5.2,0,0,0,0,0,0,3,1,0.0,0.0,0.5,0.5,12,7,18,0.00,0.00,0.00,0.00,0.00,0.00,0.09,0.09,0.00,0.09,Matches
3,Salis Abdul Samed,gh GHA,MF,Nice,25-272,2000,11,7,506,5.6,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,5,8,5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
4,Saud Abdulhamid,sa KSA,DF,Lens,26-158,1999,10,1,217,2.4,0,1,1,0,0,0,0,0,0.0,0.0,0.5,0.5,3,14,24,0.00,0.41,0.41,0.00,0.41,0.02,0.19,0.21,0.02,0.21,Matches
5,Laurent Abergel,fr FRA,MF,Lorient,32-325,1993,15,15,1305,14.5,1,0,1,1,0,0,5,0,0.6,0.6,1.0,1.6,17,78,13,0.07,0.00,0.07,0.07,0.07,0.04,0.07,0.11,0.04,0.11,Matches
6,Matthis Abline,fr FRA,"FW,MF",Nantes,22-270,2003,16,13,1248,13.9,2,2,4,2,0,1,3,0,3.5,2.8,1.4,4.2,51,29,79,0.14,0.14,0.29,0.14,0.29,0.26,0.10,0.36,0.20,0.30,Matches
7,Abner,br BRA,DF,Lyon,25-210,2000,10,10,810,9.0,1,0,1,1,0,0,2,1,0.9,0.9,0.4,1.2,18,49,41,0.11,0.00,0.11,0.11,0.11,0.10,0.04,0.14,0.10,0.14,Matches
8,Francis Abu,gh GHA,MF,Toulouse,24-240,2001,8,7,526,5.8,0,0,0,0,0,0,2,0,0.1,0.1,0.0,0.2,1,20,10,0.00,0.00,0.00,0.00,0.00,0.02,0.01,0.03,0.02,0.03,Matches
9,Giorgi Abuashvili,ge GEO,"FW,MF",Metz,22-318,2003,10,4,288,3.2,1,0,1,1,0,0,1,0,0.3,0.3,0.2,0.5,11,9,20,0.31,0.00,0.31,0.31,0.31,0.10,0.05,0.15,0.10,0.15,Matches
10,Nathaniel Adjei,gh GHA,DF,Lorient,23-124,2002,2,0,7,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
11,Nayef Aguerd,ma MAR,DF,Marseille,29-268,1996,11,11,963,10.7,1,0,1,1,0,0,2,0,0.4,0.4,0.1,0.5,9,50,2,0.09,0.00,0.09,0.09,0.09,0.04,0.01,0.04,0.04,0.04,Matches
12,Ruben Aguilar,fr FRA,DF,Lens,32-241,1993,16,15,1244,13.8,0,1,1,0,0,0,3,0,0.4,0.4,1.4,1.8,33,58,104,0.00,0.07,0.07,0.00,0.07,0.03,0.10,0.13,0.03,0.13,Matches
13,Abdelhamid Ait Boudlal,ma MAR,DF,Rennes,19-251,2006,9,8,648,7.2,2,1,3,2,0,0,2,1,1.2,1.2,0.3,1.5,8,25,7,0.28,0.14,0.42,0.28,0.42,0.17,0.04,0.21,0.17,0.21,Matches
14,Tosin Aiyegun,bj BEN,"MF,FW",Lorient,27-180,1998,14,9,709,7.9,3,0,3,3,0,1,1,0,4.2,3.0,0.8,3.7,12,17,33,0.38,0.00,0.38,0.38,0.38,0.53,0.10,0.63,0.38,0.47,Matches
15,Ludovic Ajorque,fr FRA,FW,Brest,31-301,1994,15,15,1313,14.6,1,4,5,1,0,0,4,1,3.9,3.9,1.4,5.3,11,23,65,0.07,0.27,0.34,0.07,0.34,0.27,0.09,0.36,0.27,0.36,Matches
16,Maghnes Akliouche,fr FRA,"FW,MF",Monaco,23-301,2002,15,14,1205,13.4,3,2,5,3,0,0,2,0,3.6,3.6,2.6,6.1,44,71,93,0.22,0.15,0.37,0.22,0.37,0.27,0.19,0.46,0.27,0.46,Matches
17,Clément Akpa,ci CIV,DF,Auxerre,24-029,2001,15,14,1229,13.7,0,0,0,0,0,0,3,1,0.1,0.1,0.4,0.5,8,48,4,0.00,0.00,0.00,0.00,0.00,0.01,0.03,0.04,0.01,0.04,Matches
18,Mohamed Ali Cho,fr FRA,FW,Nice,21-338,2004,9,8,617,6.9,2,2,4,2,0,0,0,0,1.1,1.1,1.6,2.7,29,22,54,0.29,0.29,0.58,0.29,0.58,0.16,0.24,0.39,0.16,0.39,Matches
19,Jim Allevinah,ga GAB,"FW,DF",Angers,30-299,1995,4,0,88,1.0,0,0,0,0,0,0,0,0,0.3,0.3,0.0,0.3,1,4,1,0.00,0.00,0.00,0.00,0.00,0.27,0.00,0.27,0.27,0.27,Matches
20,Kelvin Amian,fr FRA,DF,Nantes,27-318,1998,16,16,1440,16.0,0,1,1,0,0,0,2,0,0.2,0.2,0.6,0.8,18,65,30,0.00,0.06,0.06,0.00,0.06,0.01,0.03,0.05,0.01,0.05,Matches
21,Mohamed Amine Sbai,fr FRA,FW,Angers,25-048,2000,9,8,637,7.1,0,1,1,0,0,0,1,0,0.9,0.9,1.4,2.2,36,28,50,0.00,0.14,0.14,0.00,0.14,0.12,0.19,0.31,0.12,0.31,Matches
22,Michael Amir Murillo,pa PAN,DF,Marseille,29-315,1996,13,10,843,9.4,2,0,2,2,0,0,4,0,0.9,0.9,0.7,1.5,19,35,69,0.21,0.00,0.21,0.21,0.21,0.09,0.07,0.16,0.09,0.16,Matches
23,Samuel Amo-Ameyaw,eng ENG,"DF,MF",Strasbourg,19-158,2006,11,4,466,5.2,1,1,2,1,0,0,1,0,0.3,0.3,0.5,0.8,32,15,52,0.19,0.19,0.39,0.19,0.39,0.06,0.09,0.15,0.06,0.15,Matches
24,Mathis Amougou,fr FRA,MF,Strasbourg,19-339,2006,8,2,262,2.9,0,0,0,0,0,0,0,0,0.2,0.2,0.2,0.4,7,14,11,0.00,0.00,0.00,0.00,0.00,0.06,0.06,0.13,0.06,0.13,Matches
25,Benjamin André,fr FRA,MF,Lille,35-142,1990,13,13,1159,12.9,2,1,3,2,0,0,5,0,1.5,1.5,0.9,2.4,16,90,45,0.16,0.08,0.23,0.16,0.23,0.12,0.07,0.18,0.12,0.18,Matches
