Unnamed: 0_level_0_Rk,Unnamed: 1_level_0_Player,Unnamed: 2_level_0_Nation,Unnamed: 3_level_0_Pos,Unnamed: 4_level_0_Squad,Unnamed: 5_level_0_Age,Unnamed: 6_level_0_Born,Unnamed: 7_level_0_90s,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Unnamed: 22_level_0_Ast,Unnamed: 23_level_0_xAG,Expected_xA,Expected_A-xAG,Unnamed: 26_level_0_KP,Unnamed: 27_level_0_1/3,Unnamed: 28_level_0_PPA,Unnamed: 29_level_0_CrsPA,Unnamed: 30_level_0_PrgP,Unnamed: 31_level_0_Matches
1,Zakaria Aboukhlal,ma MAR,"FW,MF",Torino,25-308,2000,1.9,25,39,64.1,386,129,15,20,75.0,6,7,85.7,3,5,60.0,0,0.0,0.0,0.0,0,1,1,1,4,Matches
2,Francesco Acerbi,it ITA,DF,Inter,37-316,1988,9.6,541,572,94.6,10219,2666,162,171,94.7,339,348,97.4,37,44,84.1,1,0.4,0.8,+0.6,3,22,2,1,34,Matches
3,Che Adams,sct SCO,"FW,MF",Torino,29-163,1996,9.1,168,226,74.3,3045,604,82,103,79.6,52,68,76.5,26,30,86.7,0,0.7,0.8,-0.7,9,17,5,1,19,Matches
4,Jayden Addai,nl NED,FW,Como,20-119,2005,6.9,108,155,69.7,1629,351,62,78,79.5,36,49,73.5,7,14,50.0,0,0.5,0.7,-0.5,5,5,5,1,14,Matches
5,Vasilije Adžić,me MNE,MF,Juventus,19-225,2006,1.4,54,70,77.1,901,218,26,29,89.7,18,20,90.0,5,7,71.4,0,0.2,0.1,-0.2,4,4,2,0,9,Matches
6,Michel Aebischer,ch SUI,MF,Pisa,28-351,1997,13.9,598,705,84.8,11239,3001,240,258,93.0,268,306,87.6,79,115,68.7,0,0.8,1.0,-0.8,13,57,10,1,76,Matches
7,Honest Ahanor,it ITA,DF,Atalanta,17-303,2008,6.1,285,314,90.8,4546,1288,137,147,93.2,138,147,93.9,6,11,54.5,0,0.0,0.1,0.0,0,21,1,0,15,Matches
8,Junior Ajayi,ci CIV,FW,Hellas Verona,21-073,2004,0.0,1,1,100.0,15,0,0,0,,1,1,100.0,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,Matches
9,Manuel Akanji,ch SUI,DF,Inter,30-157,1995,13.0,845,928,91.1,15816,4554,315,333,94.6,444,472,94.1,82,104,78.8,0,0.2,0.5,-0.2,3,72,6,2,61,Matches
10,Ebenezer Akinsanmiro,ng NGA,MF,Pisa,21-028,2004,9.5,239,283,84.5,4349,1233,97,106,91.5,111,126,88.1,22,35,62.9,1,1.3,1.1,-0.3,11,41,6,3,46,Matches
11,Jean-Daniel Akpa-Akpro,ci CIV,MF,Hellas Verona,33-073,1992,5.5,84,121,69.4,1253,578,52,66,78.8,25,35,71.4,4,7,57.1,0,0.1,0.1,-0.1,4,11,1,0,10,Matches
12,Raúl Albiol,es ESP,DF,Pisa,40-110,1985,3.4,181,203,89.2,3918,1785,48,51,94.1,103,108,95.4,30,42,71.4,0,0.1,0.0,-0.1,1,10,1,0,13,Matches
13,Pontus Almqvist,se SWE,"DF,MF",Parma,26-166,1999,3.9,60,80,75.0,862,233,41,48,85.4,13,19,68.4,5,8,62.5,0,1.0,0.7,-1.0,7,1,4,3,3,Matches
14,Giuseppe Ambrosino,it ITA,FW,Napoli,22-104,2003,0.4,1,4,25.0,5,0,1,3,33.3,0,1,0.0,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,Matches
15,Angeliño,es ESP,"DF,MF",Roma,28-353,1997,4.3,183,244,75.0,3214,1065,76,84,90.5,87,111,78.4,16,32,50.0,0,0.1,0.6,-0.1,3,13,9,2,25,Matches
16,Samuele Angori,it ITA,DF,Pisa,22-077,2003,8.5,177,276,64.1,3708,1591,66,78,84.6,76,108,70.4,33,75,44.0,1,1.8,2.0,-0.8,13,12,11,8,15,Matches
